reaction,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
EmccB  ,0.134485,0.281326,0.406891,0,0.000404
EcysS  ,0.043237,0.087386,0.125606,0.133705,0.159611
Egln   ,3.21336,6.99687,5.814023,1.876856,2.466525
EglnS  ,0.081888,0.168266,0.243859,0.262987,0.311149
Eglt   ,2.599092,5.594768,3.573176,0,0
EgltX  ,0.17156,0.356885,0.519118,0.571489,0.68345
EracE  ,0.028376,0.062413,0.096121,0.109824,0.137256
EglyA  ,0.22469,0.532699,0.84561,0.807019,1.0472
EglyQS ,0.12869,0.266531,0.386408,0.439896,0.521237
EhisG  ,0.077101,0.156538,0.225746,0,0
EhisI  ,0.077101,0.156538,0.225746,0,0
EhisA  ,0.077101,0.156538,0.225746,0,0
EhisHF ,0.077101,0.156538,0.225746,0,0
EhisB  ,0.077101,0.156538,0.225746,0,0
EhisC  ,0.077101,0.156538,0.225746,0,0
EhisJ  ,0.077101,0.156538,0.225746,0,0
EhisD1 ,0.077101,0.156538,0.225746,0,0
EhisD2 ,0.077101,0.156538,0.225746,0,0
EhisS  ,0.077101,0.156538,0.225746,0.240626,0.29114
EilvA  ,0,0,0,0.001132,0.00101
EilvBH1,0.134485,0.281326,0.406891,0.001132,0.001414
EilvC1 ,0.134485,0.281326,0.406891,0.001132,0.001414
EilvD1 ,0.134485,0.281326,0.406891,0.001132,0.001414
EilvE1 ,0.134189,0.280675,0.4059,0,0
EileS  ,0.134189,0.280675,0.4059,0.452888,0.534948
EilvBH2,0.232104,0.483776,0.704878,0.001054,0.001317
EilvC2 ,0.23006,0.483776,0.704878,0.001054,0.001317
EilvD2 ,0.23006,0.483776,0.704878,0.001054,0.001317
EleuA  ,0.086427,0.183213,0.266458,0.000601,0.000752
EleuCD ,0.086427,0.183213,0.266458,0.000601,0.000752
EleuB  ,0.086427,0.183213,0.266458,0.000601,0.000752
EilvE3 ,0.08627,0.182866,0.265931,0,0
EleuS  ,0.08627,0.182866,0.265931,0.299314,0.349392
Ebkd1  ,0.000296,0.000652,0.00099,0.001132,0.001414
Ebkd2  ,0.000034,0.000074,0.000113,0.000129,0.000161
Ebkd3  ,0.000158,0.000346,0.000526,0.000601,0.000752
EdapG  ,0.391593,0.825782,1.209872,0.109824,0.137256
Easd   ,0.391593,0.825782,1.209872,0.109824,0.137256
Ehom   ,0.274357,0.572617,0.830656,0,0
EdapA  ,0.117236,0.253165,0.379216,0.109824,0.137256
EdapB  ,0.117236,0.253165,0.379216,0.109824,0.137256
EdapH  ,0.117236,0.253165,0.379216,0.109824,0.137256
EpatA  ,0.117236,0.253165,0.379216,0.109824,0.137256
EdapL  ,0.117236,0.253165,0.379216,0.109824,0.137256
EdapF  ,0.117236,0.253165,0.379216,0.109824,0.137256
ElysA  ,0.08886,0.190752,0.283095,0,0
ElysS  ,0.08886,0.190752,0.283095,0.31712,0.388344
EmetA  ,0.184823,0.386766,0.559362,0,0
EmetI  ,0.184823,0.386766,0.559362,0,0
EmetC  ,0.050338,0.10544,0.152471,0,0
EmetE  ,0.050431,0.105643,0.152776,0.000324,0
EmetK  ,0.002068,0.004545,0.006914,0.007874,0.009841
EmetS  ,0.056858,0.119569,0.173819,0.196129,0.23474
Efmt   ,0.006528,0.014147,0.021348,0.023426,0.029042
Edef   ,0.006528,0.014147,0.021348,0.023426,0.029042
EspeD  ,0.001951,0.004291,0.006608,0.00755,0.009436
EspeE  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnN2 ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnK  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnA  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnB  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnW  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnX  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnD  ,0.001951,0.004291,0.006608,0.00755,0.009436
EmtnE  ,0.001951,0.004291,0.006608,0.00755,0.009436
EspeA  ,0.011454,0.025193,0.0388,0.044331,0.055404
EspeB  ,0.011454,0.025193,0.0388,0.044331,0.055404
EaroA  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroB  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroC  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroD  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroK  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroE  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroF  ,0.153438,0.311403,0.442079,0.190155,0.225489
EaroH  ,0.090323,0.185381,0.263729,0,0
EpheA  ,0.058629,0.120209,0.171339,0,0
EhisC2 ,0.058629,0.120209,0.171339,0,0
EpheS  ,0.058629,0.120209,0.171339,0.191862,0.222168
EproB  ,0.067192,0.136883,0.196355,0,0
EproA  ,0.067192,0.136883,0.196355,0,0
EproI  ,0.067192,0.136883,0.196355,0,0.256102
EproS  ,0.067192,0.136883,0.196355,0.221561,0.257845
EserA  ,0.47497,1.044064,1.581254,0,0
EserC  ,0.47497,1.044064,1.581254,0,0
EserS  ,0.093437,0.192231,0.278912,0.309361,0.363816
EthrB  ,0.089534,0.185851,0.271294,0,0
EthrC  ,0.089534,0.185851,0.271294,0,0
EthrS  ,0.089534,0.185851,0.271294,0.31281,0.36379
EtrpEG ,0.06292,0.125593,0.17769,0.189399,0.224545
EtrpD  ,0.06292,0.125593,0.17769,0.189399,0.224545
EtrpF  ,0.06292,0.125593,0.17769,0.189399,0.224545
EtrpC  ,0.06292,0.125593,0.17769,0.189399,0.224545
EtrpA  ,0.06292,0.125593,0.17769,0.189399,0.224545
EtrpB  ,0.06292,0.125593,0.17769,0.189399,0.224545
EtrpS  ,0.06292,0.125593,0.17769,0.189399,0.224545
EtyrA  ,0.031694,0.065172,0.09239,0,0
EhisC3 ,0.031694,0.065172,0.09239,0,0
EtyrS  ,0.031694,0.065172,0.09239,0.106816,0.120028
EilvE2 ,0.143515,0.300305,0.438024,0,0
EvalS  ,0.143515,0.300305,0.438024,0.490464,0.585715
Eald   ,0,0,0,0,0
EargI  ,0,0,0,0,0.256102
ErocD  ,0,0,0,0,0.256102
ErocA  ,0,0,0,0.68838,0
Eure   ,0.011454,0.025193,0.0388,0.044331,0.311506
EansA  ,0,0,0,19.896141,10.73037
EansB  ,0,0,0,18.606031,9.032851
EglsA  ,0,0,0,0,0
ErocG  ,0,0,0,5.345052,0
EgcvT  ,0.032863,0.096665,0.155073,0,0.021623
EhutH  ,0,0,0,0,0
EhutU  ,0,0,0,0,0
EhutI  ,0,0,0,0,0
EhutG  ,0,0,0,0,0
EputB  ,0,0,0,0.68838,0
EputC  ,0,0,0,0,0
Esda   ,0,0,0,0,0
Etdh   ,0,0,0,0,0
Ekbl   ,0,0,0,0,0
Eapt   ,0,0.004494,0.006914,0.007874,0.009841
EhprT1 ,0,0,0,0,0
EhprT2 ,0,0,0,0,0
Expt   ,0,0,0,0,0
EadeC  ,0,0,0,0,0
EguaD  ,0,0,0,0,0
EyfkN1 ,0,0,0,0,0
EyfkN2 ,0,0,0,0,0
EyfkN3 ,0,0,0,0,0
EyfkN4 ,0,0,0,0,0
EyfkN5 ,0,0,0,0,0
Epuc   ,0,0,0,0,0
Epuc2  ,0,0,0,0,0
Edgk   ,0,0,0,0,0
Edck1  ,0.002044,0,0,0,0
EdeoD1 ,-0.002044,0,0,0,0
EdeoD2 ,0,0,0,0,0
EpupG1 ,0,0,0,0,0
EpupG2 ,0,0,0,0,0
EpupG3 ,0,0,0,0,0
EpupG4 ,0,0,0,0,0
Edrm1  ,0,0,0,0,0
Edrm2  ,-0.002044,0,0,0,0
Edra   ,-0.002044,0,0,0,0
Eupp   ,0,0,0,0,0
Edck2  ,0,0,0,0,0
Eudk1  ,0,0,0,0,0
Eudk2  ,0,0,0,0,0
Etdk1  ,0,0,0,0,0
Etdk2  ,0,0,0,0,0
Epdp1  ,0,0,0,0,0
Epdp2  ,0,0,0,0,0
Epdp3  ,0,0,0,0,0
Epdp4  ,0,0,0,0,0
Ecdd1  ,0,0,0,0,0
Ecdd2  ,0,0,0,0,0
EyfkN6 ,0,0,0,0,0
EyfkN7 ,0,0,0,0,0
EyfkN8 ,0,0,0,0,0
EyfkN9 ,0,0,0,0,0
EpucLM ,0,0,0,0,0
EpucH  ,0,0,0,0,0
EpucF  ,0,0,0,0,0
EpucG  ,0,0,0,0,0
EaldX  ,0,0,0,0,0
EyoaN  ,0,0,0,0,0
EmtrA  ,0.000111,0.000245,0.000378,0.000431,0.000539
EphoA  ,0.000111,0.000245,0.000378,0.000431,0.000539
EfolB  ,0.000111,0.000245,0.000378,0.000431,0.000539
EfolK  ,0,0,0,0,0
EpabAB ,0.000111,0.000245,0.000378,0.000431,0.000539
EpabC  ,0.000111,0.000245,0.000378,0.000431,0.000539
Esul1  ,0.000111,0.000245,0.000378,0.000431,0.000539
Esul2  ,0,0,0,0,0
EfolC  ,0.000111,0.000245,0.000378,0.000431,0.000539
EfdhD  ,0,0.019373,0,0.056628,0.039887
EdfrA  ,0.006476,0.014244,0.021937,0.025065,0.031325
EdfrA2 ,0,0,0,0,0
EfolD1 ,0.009015,0,0.029201,0,0
EykkE  ,0,0,0,0.024273,0
EfolD2 ,0.200673,0.509539,0.826064,0.781738,1.037633
EfolD3 ,0.200673,0.509539,0.826064,0.781738,1.037633
EyitJ  ,0.050431,0.105643,0.152776,0.000324,0
EmenF  ,-1000,-1000,-1000,-1000,-1000
EmenD  ,0.000084,0.000184,0.000283,0.000324,0.000404
EmenC  ,0.000084,0.000184,0.000283,0.000324,0.000404
EmenE  ,0.000084,0.000184,0.000283,0.000324,0.000404
EmenB  ,0.000084,0.000184,0.000283,0.000324,0.000404
EytxM  ,0.000084,0.000184,0.000283,0.000324,0.000404
EmenA  ,0.000084,0.000184,0.000283,0.000324,0.000404
EmenH  ,0.000084,0.000184,0.000283,0.000324,0.000404
Edxs   ,0.000718,0.001588,0.002226,0.002642,0.003202
Edxr   ,0.00061,0.001455,0.002072,0.00243,0.002993
EispD  ,0.00061,0.001455,0.002072,0.00243,0.002993
EispE  ,0.00061,0.001455,0.002072,0.00243,0.002993
EispF  ,0.00061,0.001455,0.002072,0.00243,0.002993
EispG  ,0.00061,0.001455,0.002072,0.00243,0.002993
EispH  ,0.00061,0.001455,0.002072,0.00243,0.002993
Efni   ,0.000092,0.00024,0.000313,0.000379,0.000459
EispA1 ,0.000092,0.00024,0.000313,0.000379,0.000459
EispA2 ,0.000092,0.00024,0.000313,0.000379,0.000459
EhepTS1,0.000084,0.000184,0.000283,0.000324,0.000404
EhepTS2,0.000084,0.000184,0.000283,0.000324,0.000404
EhepTS3,0.000084,0.000184,0.000283,0.000324,0.000404
EhepTS4,0.000084,0.000184,0.000283,0.000324,0.000404
EuppS  ,0,0,0,0,0
EyubB  ,0,0,0,0,0
EpanB  ,0.000084,0.000184,0.000283,0.000324,0.000404
EpanE  ,0.000084,0.000184,0.000283,0.000324,0.000404
EpanD  ,0.000084,0.000184,0.000283,0.000324,0.000404
EpanC  ,0.000084,0.000184,0.000283,0.000324,0.000404
EcoaX  ,0.000084,0.000184,0.000283,0.000324,0.000404
EcoaBC1,0.000084,0.000184,0.000283,0.000324,0.000404
EcoaBC2,0.000084,0.000184,0.000283,0.000324,0.000404
EcoaD  ,0.000084,0.000184,0.000283,0.000324,0.000404
EcoaE  ,0.000084,0.000184,0.000283,0.000324,0.000404
EnadB  ,0.004821,0.010604,0.016332,0.01866,0.023321
EnadA  ,0.004821,0.010604,0.016332,0.01866,0.023321
EnadC  ,0.004821,0.010604,0.016332,0.01866,0.023321
EnadD  ,0.004821,0.010604,0.016332,0.01866,0.023321
EnadE  ,0.004821,0.010604,0.016332,0.01866,0.023321
EnadF  ,0.000307,0.000674,0.001038,0.001186,0.001483
EpncB  ,0,0,0,0,0
Eplp   ,0.000057,0.000167,0.000265,0.00009,0.000197
EribAB1,0.000141,0.00023,0.000289,0.000316,0.00029
EribAB2,0.000283,0.00046,0.000578,0.000631,0.00058
EribD1 ,0.000141,0.00023,0.000289,0.000316,0.00029
EribD2 ,0.000141,0.00023,0.000289,0.000316,0.00029
EribH  ,0.000283,0.00046,0.000578,0.000631,0.00058
EribE  ,0.000141,0.00023,0.000289,0.000316,0.00029
EribC1 ,0.000141,0.00023,0.000289,0.000316,0.00029
EribC2 ,0.000117,0.000181,0.000234,0.000311,0.000282
EhemA  ,0.000299,0.001045,0.000719,0.001081,0.000494
EhemL  ,0.000299,0.001045,0.000719,0.001081,0.000494
EhemB  ,0.00015,0.000522,0.00036,0.000541,0.000247
EhemC  ,0.000037,0.000131,0.00009,0.000135,0.000062
EhemD  ,0.000037,0.000131,0.00009,0.000135,0.000062
EhemE  ,0.000033,0.000121,0.000079,0.000135,0.000062
EhemZ  ,0.000033,0.000121,0.000079,0.000135,0.000062
EhemN  ,0,0,0,0,0
EhemY  ,0.000033,0.000121,0.000079,0.000135,0.000062
EhemH  ,0.000033,0.000121,0.000079,0.000135,0.000062
EctaB  ,0.000008,0.000056,0.00003,0.000055,0.000054
EctaA  ,0.000008,0.000056,0.00003,0.000055,0.000054
Ecyt   ,0,0,0,0,0
EsumT  ,0.000005,0.00001,0.000011,0,0
EnasF  ,0,0,0,0,0
EsirB  ,0.000005,0.00001,0.000011,0,0
EsirC  ,0.000005,0.00001,0.000011,0,0
EthiS  ,0,0,0,0,0
EthiF  ,0.000109,0.000133,0.000155,0.000213,0.000209
EsufS  ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiG  ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiO  ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiC  ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiD1 ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiD2 ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiE  ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiL  ,0.000109,0.000133,0.000155,0.000213,0.000209
EthiN  ,0,0,0,0,0
EbioI  ,0.000008,0.000017,0,0,0
EbioW  ,0.000008,0.000017,0,0,0
EbioF  ,0.000008,0.000017,0,0,0
EbioA  ,0.000008,0.000017,0,0,0
EbioD  ,0.000008,0.000017,0,0,0
EbioB  ,0.000008,0.000017,0,0,0
EdhbC  ,1000.000084,1000.000184,1000.000283,1000.000324,1000.000404
EdhbB  ,0,0,0,0,0
EdhbA  ,0,0,0,0,0
EdhbEBF,0.000099,0,0.000105,0.000094,0.000033
EbesA  ,0.000099,0,0.000105,0.000094,0.000033
EefeM  ,0.000297,0.000338,0.000315,0.000282,0.000099
EpgcA  ,0.130761,0.287611,0.442943,0.506089,0.632497
EgtaB  ,0.130761,0.287611,0.442943,0.506089,0.632497
EglmS  ,0.062827,0.138189,0.212822,0.243163,0.303898
EnagA  ,0,0,0,0,0
EmurQ  ,0,0,0,0,0
EnagB  ,0,0,0,0,0
EglmM  ,0.062827,0.138189,0.212822,0.243163,0.303898
EgcaD1 ,0.062827,0.138189,0.212822,0.243163,0.303898
EgcaD2 ,0.062827,0.138189,0.212822,0.243163,0.303898
EmurA  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmurB  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmurC  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmurD  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmurE  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmurF  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmraY  ,0.028376,0.062413,0.096121,0.109824,0.137256
EmurG  ,0.028376,0.062413,0.096121,0.109824,0.137256
EgpsA1 ,0.167416,0,0,0,0.809799
EgpsA2 ,0,0.368234,0.567109,0.647957,0
EtagD  ,0.167073,0.367479,0.565946,0.646629,0.808139
EmnaA  ,0.003038,0.006681,0.01029,0.011757,0.014693
EtagO  ,0.003038,0.006681,0.01029,0.011757,0.014693
EtagA  ,0.003038,0.006681,0.01029,0.011757,0.014693
EtagB  ,0.003038,0.006681,0.01029,0.011757,0.014693
EtagF  ,0.003038,0.006681,0.01029,0.011757,0.014693
EtagE  ,0.003038,0.006681,0.01029,0.011757,0.014693
