,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
b0907,0.0007242862,0.0006965025,0.0006983928,0.0007344563,0.0010575662,0.0007795376,0.001279388
b0118,0.0027409943,0.0046729034,0.0030854627,0.0019233074,0.0013959282,0.0035645635,0.0012582976
b3984,0.00070447,0.000631505,0.000755039,0.0009668243,0.0010957153,0.0008972577,0.0012488522
b0004,0.0005015787,0.0005773409,0.0018621226,0.0009976204,0.0011618796,0.0009296521,0.001219487
b2416,0.0006450319,0.0003686899,0.0003934541,0.0004989658,0.0010006749,0.000424403,0.0011440285
b3308,0.0006593844,0.0005916823,0.0006427421,0.0008790524,0.0010956063,0.0009281886,0.0011427711
b0116,0.0010402301,0.0010055095,0.0024770504,0.0009961231,0.001214444,0.0014154785,0.0011312239
b2530,0.000928398,0.0009351154,0.0008915816,0.001060724,0.0011145601,0.0007575919,0.0010931253
b2417,0.0010360259,0.0006831223,0.000753984,0.0008636735,0.0009093507,0.0007017739,0.0010840883
b3985,0.0006396009,0.0005742348,0.0006974806,0.0009540457,0.0009894399,0.0008295571,0.0010810491
b3315,0.0005396286,0.0004931488,0.0007163154,0.0009510884,0.0009504003,0.0007854129,0.001077013
b0170,0.0005741713,0.0005335827,0.0007778106,0.0008770767,0.0009166785,0.0007309677,0.0010711855
b3495,0.0012690506,0.0015047885,0.0017968512,0.0010192941,0.0008589264,0.0007611316,0.0010680709
b0115,0.0007355526,0.0005157391,0.0029174632,0.0007117205,0.0012627665,0.0008882761,0.0010607215
b2609,0.0007563554,0.0005566102,0.0006469157,0.0009076854,0.0011264788,0.0009317509,0.0010597955
b3987,0.0009673519,0.0008770336,0.0011261871,0.001076336,0.0013493702,0.0011326088,0.0010562173
b2508,0.000383747,0.0004599657,0.0004607115,0.0005508904,0.0006722402,0.0006776508,0.0010357743
b0114,0.0007405209,0.0005331996,0.0031678713,0.0007725992,0.0015950046,0.0009211747,0.0010268338
b2323,0.0011632523,0.0010192132,0.0012108715,0.0011339,0.0008988461,0.0011765715,0.0010168435
b3309,0.0005518303,0.0004560572,0.0006460072,0.0007763913,0.0009272818,0.0007541568,0.0009990333
b3433,0.0004243036,0.0007286577,0.0006642056,0.0006819451,0.0007341924,0.0004829965,0.0009763233
b4203,0.0005005669,0.0004697656,0.0006301553,0.0007790807,0.0008578112,0.0006154612,0.000974794
b3295,0.0008311566,0.0009111122,0.0009526424,0.0010300641,0.0008538888,0.0007880981,0.0009428916
b2498,0.0007393116,0.0005653104,0.0006094584,0.0009290076,0.0007683807,0.0011397741,0.0009304539
b2942,0.0004704615,0.0003254378,0.0005727719,0.0005455225,0.0006087172,0.0004940321,0.0009290683
b0033,0.0004493011,0.0003904355,0.0004381997,0.000640705,0.0007402743,0.0005991457,0.0009280457
b0002,0.0004207278,0.0004111122,0.0018263579,0.0007948876,0.0014606863,0.0006632025,0.0009005784
b3313,0.0006091363,0.0005369012,0.0006591173,0.0008782247,0.0011591032,0.0007892076,0.0008966158
b3231,0.0005157805,0.0004724151,0.0005907499,0.0007484588,0.0008407028,0.0006942828,0.0008938031
b2913,0.0004128279,0.0004506192,0.0005422695,0.0005107105,0.0005768949,0.0003726126,0.0008886445
b3908,0.0013516445,0.0012438229,0.0010507685,0.0011145677,0.0011189943,0.0012902943,0.0008864198
b0565,0.000600811,0.0006735328,0.0005598998,0.0006492778,0.0005943592,0.0007497548,0.0008763261
b3321,0.0004113952,0.0004152184,0.0005342294,0.0006356293,0.0006676748,0.0005701516,0.0008274124
b3212,0.0005198373,0.0004868129,0.000555732,0.0006859656,0.0010710457,0.0004945768,0.0008271867
b1241,0.0013841224,0.0009485628,0.0006370135,0.0009501289,0.0032673973,0.0007597498,0.0008262409
b3319,0.0005687659,0.0004082009,0.0005458204,0.0007194692,0.0009493984,0.0007632255,0.000825079
b0720,0.0019820676,0.003573121,0.0035909141,0.0016108655,0.0016379737,0.0018170818,0.000822789
b1676,0.0007088375,0.0004944599,0.00034776,0.0006875844,0.0010198028,0.0004897175,0.0008001371
b1324,0.0009902519,0.0006816348,0.0008741521,0.0007968661,0.0008797263,0.0009268318,0.0007803734
b1713,0.0007695921,0.0005386634,0.000830773,0.0007777116,0.0008810866,0.0007208127,0.0007777244
b1823,0.0005640244,0.000633648,0.000572368,0.0007582423,0.0007963886,0.000777588,0.0007712441
b3988,0.0007977835,0.0007400267,0.0008525492,0.0008412572,0.0011914194,0.0008364754,0.0007638637
b3317,0.0004382647,0.000447324,0.0007000699,0.0006990603,0.000989462,0.0005882008,0.0007508075
b0814,0.0002999462,0.000250369,0.0002050061,0.0002922084,0.0003956481,0.0001951064,0.0007397209
b3172,0.0003272105,0.0002612238,0.000335601,0.0004085211,0.0005017242,0.0003724053,0.0007360194
b3314,0.0004189609,0.0004105304,0.0006285243,0.000656878,0.001034023,0.0006842144,0.0007344041
b3349,0.0004050132,0.000490702,0.0006112967,0.0006064816,0.0004736731,0.0004808119,0.0007271758
b1677,0.000712995,0.0007629282,0.0006805935,0.0007471498,0.0007511479,0.0008332148,0.0007217498
b0903,0.0011222683,0.0010542407,0.0011265429,0.0009538585,0.001106255,0.0011054342,0.00069797
b0440,0.0005327523,0.00058693,0.0007711829,0.0006727595,0.0004089368,0.0005820766,0.0006852034
b3312,0.0004295084,0.0003969315,0.0004599924,0.0005444414,0.0006025263,0.0004823946,0.000682241
b0032,0.0003253259,0.0002684215,0.0003331028,0.0004597234,0.0005299351,0.0004474454,0.000679483
b0008,0.0006192218,0.0005179588,0.0007954858,0.0007583397,0.0007490999,0.0006603877,0.0006632782
b4147,0.0004575184,0.0003618166,0.0005131387,0.0005718125,0.0005521045,0.0006066468,0.0006545398
b3320,0.0004226304,0.0003936364,0.0004446104,0.0005876286,0.0006660973,0.0005382548,0.0006503893
b0573,0.0004318151,0.0005666222,0.0004758952,0.00091585,0.0007245928,0.000679963,0.0006407179
b3956,0.000375125,0.0002923708,0.0003061899,0.0004126604,0.0008632353,0.0002857986,0.0006376135
b2153,0.0001959608,0.0001586389,0.0002550136,0.0003238429,0.0003715212,0.0002539526,0.0006236985
b1243,0.0005950136,0.0003939416,0.0006753914,0.0005793581,0.0006269479,0.000770294,0.0006209697
b1237,0.000834493,0.0008566247,0.0010466934,0.0010411304,0.0009568598,0.0007892584,0.0006206442
b2557,0.0005056426,0.0004447606,0.0007707662,0.0005572985,0.0005782975,0.0005277156,0.0006153975
b0755,0.0005894382,0.0006485364,0.0005354806,0.0005930155,0.0005346181,0.0005305894,0.000609999
b0741,0.0003702525,0.0005099258,0.0004634336,0.0005806132,0.0005632755,0.0006004344,0.0006081719
b3305,0.0004332904,0.0003535081,0.0004582575,0.0005873922,0.0006877569,0.0005425706,0.0006063728
b3165,0.0006649849,0.0004249734,0.0004680013,0.0005489282,0.0010921815,0.0007716968,0.0006024111
b1920,0.0006259709,0.0005790831,0.0004641817,0.0006310412,0.000567618,0.0004998986,0.0005866459
b0166,0.0002764178,0.0002993112,0.0004154615,0.0004162865,0.0005148428,0.0002892807,0.0005823854
b4244,0.0007666772,0.0004571634,0.0004137792,0.0006740672,0.0005261169,0.000796528,0.0005786556
b4177,0.0005148841,0.0006200235,0.0005851238,0.0005823277,0.0005415071,0.000519243,0.0005756965
b3296,0.0003857827,0.0003414462,0.0004878794,0.0005961774,0.0006166809,0.0004830061,0.0005658796
b3303,0.0003166524,0.0003163251,0.0003935482,0.0005262306,0.0005510362,0.0004275452,0.0005627435
b3306,0.0003224888,0.0002840375,0.0003855573,0.0004920225,0.0005381898,0.0004261285,0.0005544686
b1761,0.0002660923,0.0003879432,0.0003692247,0.0003844322,0.0005107277,0.0003335249,0.0005459847
b3298,0.0003851508,0.0003512205,0.0003811574,0.0005380622,0.0005264828,0.0004089733,0.0005442607
b2309,0.0004105565,0.0002634869,0.0004422864,0.0003561492,0.0003820599,0.0003618601,0.0005429733
b4245,0.0007945694,0.0005676197,0.0004579997,0.0007725265,0.0006297773,0.000851047,0.0005421644
b3169,0.0004331181,0.0003326923,0.0004204992,0.0004520801,0.000510619,0.0004983199,0.0005421442
b0928,0.0006645559,0.0007486053,0.0007207596,0.0007226216,0.0006793709,0.0008430768,0.000539259
b3544,0.0010984813,0.0010777613,0.0014141026,0.0011323562,0.0007648362,0.0013046078,0.0005275868
b3168,0.0004059799,0.0004071559,0.0005209294,0.0005244905,0.0005849061,0.0004834276,0.0005256122
b0930,0.0003494124,0.0003661519,0.000369953,0.0003978462,0.0004869312,0.0004126352,0.0005149453
b3609,0.0003432725,0.0004382644,0.0004114601,0.0003895197,0.0003712994,0.0003430714,0.0005123101
b4025,0.0004848242,0.0003928613,0.0003184922,0.0005270871,0.0004845333,0.0003780535,0.0005016007
b2935,0.000267203,0.0004204245,0.0005340858,0.0004668977,0.0004504231,0.0005240291,0.0004968498
b0023,0.0002442605,0.0002302202,0.0003104943,0.0003890613,0.0004444389,0.0003423692,0.0004949132
b0194,0.0003944001,0.0003159232,0.0004114448,0.0004515261,0.0005235402,0.0004775822,0.0004877627
b3729,0.0003213425,0.0002431187,0.0003766202,0.0004590748,0.0004759123,0.0004364056,0.0004770051
b4252,0.0004348131,0.0006395229,0.0004050856,0.0005421316,0.0004896366,0.0004721015,0.0004737708
b4200,0.000253898,0.0002898694,0.0003066004,0.000351656,0.0003609761,0.0002936172,0.0004696147
b4014,0.0022380822,0.0026835113,0.0005702346,0.0009544986,0.0004960902,0.0010589495,0.0004691021
b3294,0.0002833313,0.0001943725,0.0002921461,0.0004040474,0.0004750695,0.000360342,0.0004682449
b3035,0.0005351716,0.0004055331,0.0004042421,0.0004912077,0.0004912916,0.0004851081,0.0004650853
b2007,0.0003558505,0.0002876763,0.0002527936,0.0004033315,0.0005572532,0.0002684072,0.0004590654
b0728,0.00072903,0.0017792576,0.0015356242,0.0009209348,0.000814467,0.0013720661,0.0004556892
b1207,0.0004003954,0.0004131849,0.0005386633,0.0005138638,0.000511887,0.0006523096,0.0004503295
b0754,0.000274988,0.0002289885,0.0002008339,0.0002619387,0.0004380704,0.0002684254,0.0004497602
b0860,0.0002468638,0.0001837152,0.0002374961,0.0002604035,0.0002682021,0.0002027906,0.0004449213
b1094,0.0005045688,0.0002885758,0.0004273647,0.0004752989,0.0004531267,0.000500539,0.0004430704
b3781,0.0005535371,0.0002877164,0.0004135022,0.0004105207,0.0005063467,0.0004104242,0.0004382873
b0095,0.0002844117,0.0002806561,0.0003382369,0.000332135,0.0003539166,0.0003431111,0.0004336576
b3164,0.00039222,0.000395225,0.0004548487,0.0004813141,0.0005309864,0.000473148,0.0004332318
b0484,0.0006168234,0.0007127206,0.0007306626,0.0006661318,0.0005280419,0.0006705825,0.0004311182
b3065,0.0002081067,0.0001856672,0.0002637656,0.00033662,0.000327785,0.0002709655,0.0004274961
b0727,0.0003461269,0.0009910063,0.0008812132,0.0004662352,0.0004710443,0.0006177469,0.000409556
b1261,0.0002589858,0.0002081024,0.0003526936,0.0003335518,0.0003751982,0.0002603072,0.0004094881
b4202,0.0003069064,0.0002337414,0.0002881376,0.0003841154,0.0004510732,0.0003596435,0.0004046832
b2507,0.000173057,0.0001787047,0.0001937136,0.00025922,0.0002985704,0.0002814564,0.0004024111
b2415,0.0002570242,0.0001901967,0.0002310904,0.0002346766,0.000413283,0.0002711894,0.0004015276
b0026,0.000322188,0.0003076114,0.0004032096,0.0003606297,0.0003584121,0.0003190831,0.0004003092
b3559,0.0003464883,0.0003292228,0.0004163416,0.0003927929,0.0004273277,0.0003666957,0.0003965432
b4376,0.0002304214,0.0002770437,0.0001126756,0.0002090445,0.0002266335,0.0001345551,0.0003916657
b2476,0.0002883789,0.0002904428,0.0004713616,0.000363078,0.0003348751,0.0003398117,0.0003916169
b1641,0.0003197342,0.0003412825,0.0004007078,0.000410678,0.0003551495,0.0003107885,0.0003902024
b2764,0.0002133539,0.0002277014,0.0002498938,0.000326681,0.0004179101,0.0002668244,0.000389499
b2185,0.0001970154,0.0002317188,0.0002448322,0.00031675,0.000317349,0.0002609155,0.0003822796
b3185,0.0002456605,0.0001880038,0.0002224411,0.0003266495,0.0004092621,0.0003188494,0.0003767744
b0729,0.0005587289,0.001652804,0.0011660417,0.0007224401,0.0006072348,0.0009444355,0.000365314
b0437,0.0002262956,0.0003144444,0.0002961662,0.0003171053,0.0002418769,0.0002379321,0.0003623897
b3871,0.0001701011,0.000117608,0.0001954392,0.0002113923,0.0002806016,0.0001898152,0.0003595821
b3919,0.0004543717,0.00045539,0.0003703339,0.0003833259,0.0004283608,0.0003287599,0.0003554728
b3316,0.0001794963,0.0001802497,0.000215312,0.0002724984,0.000360099,0.0002469614,0.0003512833
b2763,0.0001942124,0.00022048,0.0002487062,0.0003113853,0.000293689,0.0002182171,0.0003414716
b2697,0.0002766638,0.0002380875,0.000356859,0.0003129877,0.0004265687,0.000341098,0.0003315074
b1714,0.0002604402,0.0002135949,0.0002772737,0.0002834701,0.0002760325,0.0002486424,0.0003314061
b4258,0.0001862125,0.0001959617,0.0002272685,0.0002296931,0.0002587023,0.0002220446,0.0003296158
b0426,0.0003008049,0.0002551102,0.0002957446,0.0002703812,0.0002712673,0.0002416071,0.0003268844
b0811,0.0006668829,0.0004035713,0.0007560611,0.0005504506,0.0003635678,0.0007633203,0.0003256108
b0177,0.0002587555,0.0002312557,0.0003576645,0.0003264429,0.0002922032,0.0002758867,0.000325515
b1415,0.0034066701,0.0019690344,0.002877897,0.0016348041,0.0008430317,0.0027585637,0.0003242915
b0073,0.0006910928,0.0006263992,0.0002374406,0.0003789905,0.0003375423,0.0003393459,0.000321242
b4024,0.00011285,0.0001399023,0.0002102122,0.0001695095,0.0002692867,0.0001044694,0.0003199005
b2518,0.0005060829,0.000583098,0.0004768194,0.0005106715,0.0004927722,0.0008943116,0.0003195939
b0642,0.0002434356,0.0002557467,0.0002566332,0.0002789174,0.0002970327,0.0002791096,0.000318094
b0726,0.000390015,0.0009642137,0.0008873198,0.0005511665,0.0006180278,0.0007004181,0.0003175538
b3636,0.0001560345,0.0001427891,0.0001742859,0.0002214911,0.0002506521,0.0001913547,0.0003156488
b3942,0.0007185708,0.0004698179,0.000589746,0.0004849827,0.0003982101,0.0005078938,0.0003118352
b1062,0.0002669986,0.0002041187,0.0002905298,0.0002589612,0.0002827924,0.0003352557,0.0003085775
b3959,0.0001706268,0.0001392182,0.0002134515,0.0002000081,0.0002532771,0.0001922333,0.0003075409
b2310,0.0018778128,0.0007777866,0.0009166375,0.0006999046,0.000369863,0.0011086612,0.0003055778
b4411,0.0006538686,0.0004388407,0.0002059454,0.0003739726,0.0002183627,0.0003537977,0.000304388
b1089,0.0001337758,0.0001569142,0.0001812448,0.0002263351,0.0002534783,0.0002048813,0.0003042343
b3359,0.0002874109,0.0001483169,0.0002186486,0.0001906803,0.0002178275,0.0001727122,0.0003039222
b0684,0.0003207462,0.000239855,0.0002752003,0.0003005404,0.0003202107,0.0003004791,0.0003025355
b3983,0.0001427329,0.000144003,0.0001793221,0.000226984,0.0002500559,0.0002196277,0.0002936139
b0655,0.000401941,0.0003346556,0.0003858091,0.0003771265,0.0002587473,0.0003375004,0.0002922986
b0161,0.0001916039,0.0001653052,0.0006112716,0.0003159411,0.0003436472,0.0002097694,0.0002918921
b4226,0.0003173773,0.0002417482,0.0002657634,0.0002843325,0.0003084455,0.0003090102,0.0002914921
b3347,0.0001950968,0.0001822931,0.0002717772,0.0002640997,0.0002970338,0.0002343521,0.0002906308
b4391,0.000261214,0.0002181069,0.0002838592,0.0003253047,0.0003268219,0.0003455748,0.0002844748
b2042,0.0001994237,0.0001922723,0.0002036174,0.0002369933,0.0002542778,0.0002417249,0.0002829684
b2020,0.0001452174,0.000107482,0.0001606601,0.0002164707,0.0001544281,0.0001236641,0.0002816391
b2114,0.0001786282,0.0001824874,0.0002175195,0.0002132168,0.0002489484,0.0001925825,0.0002813376
b3178,0.0002362466,0.0001909439,0.000282738,0.0002827703,0.0002738324,0.000240502,0.0002801484
b4006,0.0001783631,0.0001427062,0.0002981895,0.000259663,0.0002742864,0.0002442669,0.0002771179
b3751,0.001650312,0.0009229123,0.0016726213,0.001097075,0.0005650278,0.0013302476,0.0002762961
b0074,0.0005573828,0.0005319092,0.0002413596,0.0003692498,0.0003710724,0.0003875819,0.0002752529
b3736,0.0002063244,0.0002075401,0.0003915267,0.0003276076,0.0002687653,0.0002976979,0.0002749261
b3213,0.0001953724,0.0001471496,0.0001625798,0.000230676,0.0002659835,0.0001414131,0.0002732832
b4142,0.0002297639,0.000277592,0.0002869123,0.0003671223,0.0002644512,0.0004110744,0.0002723889
b0888,0.0001598665,0.0001601723,0.0002345334,0.0001877794,0.0002122842,0.0001739036,0.0002723142
b3783,0.0001815581,0.0002120426,0.0002217024,0.0002314021,0.0002500005,0.0002447209,0.0002700799
b3731,0.0002417166,0.0002353165,0.0003910592,0.0003448997,0.0003272966,0.0003321473,0.0002699833
b2096,0.0011062323,0.0026286869,0.0010596952,0.0008222158,0.0006434714,0.0015437065,0.0002696345
b0438,0.0001801963,0.0001590135,0.0001885727,0.0002340371,0.0002506925,0.0001766516,0.0002670189
b1866,0.0002096749,0.0002169869,0.0002129494,0.0002307901,0.0002902145,0.0002528723,0.000265313
b0473,0.0001889602,0.000207888,0.0002233929,0.0002685557,0.0002511776,0.0002934216,0.0002651873
b3612,0.0001207519,5.65461107724E-05,6.7110892326E-05,0.0001774451,0.0003482243,7.05866433524E-05,0.0002644134
b3297,0.0001633403,0.0001498393,0.0002195042,0.0002413887,0.0002688148,0.0002193314,0.000264168
b3735,0.0002322371,0.0002402112,0.0003592798,0.0002926233,0.0002888643,0.0003105433,0.0002637665
b2890,0.000176172,0.0001960614,0.0001783509,0.0002195273,0.0002824178,0.0002185073,0.0002618131
b2425,0.0002109915,0.0002205363,0.0002597118,0.0002285043,0.0002024493,0.0002281342,0.0002608451
b0337,0.0001606222,0.0001480158,0.0002115439,0.0002649846,0.0002397331,0.0003361261,0.000258478
b2523,0.0002708764,0.0002700368,0.0002521352,0.0003048857,0.0002668685,0.0003014857,0.0002581151
b0178,0.0002653061,0.0001467461,0.0002091241,0.0001801407,0.0002337752,0.0002240499,0.0002577333
b3941,0.0001628004,0.0001614554,0.0001290619,0.0002120326,0.0002394219,0.000149572,0.000257213
b3960,0.0001168093,0.0001341646,0.0001345278,0.000172826,0.0001727233,0.0001257222,0.0002570392
b1602,0.0001062469,0.000089028,0.0001712933,0.000200414,0.0002964884,0.0001344922,0.0002569821
b1718,0.0003430909,0.0001762502,0.0002249652,0.0002588053,0.0003673636,0.0003374604,0.0002525155
b1101,0.000074115,6.20003424665E-05,0.000075727,8.85916742599E-05,0.0002739751,7.73601092736E-05,0.0002491802
b1288,0.0001464111,0.0001763938,0.0002246707,0.0002029224,0.00017019,0.0001858963,0.0002475387
b0072,0.0002588002,0.0003875839,0.0002119118,0.0002776005,0.0002184518,0.0002726833,0.0002442424
b2400,0.0001409155,0.0001713202,0.0001807063,0.0001951271,0.0001990823,0.0001783757,0.0002441753
b0606,0.000189849,0.0002707291,0.0002057377,0.000248429,0.0002919952,0.0002606818,0.0002423687
b0185,0.0001868127,0.0001498645,0.0002059686,0.0002067078,0.0001876435,0.00017982,0.0002388519
b2019,0.0001285463,7.34013639625E-05,0.0001138647,0.0001792474,0.0001704238,0.0001296452,0.0002379789
b0723,0.0004010431,0.0008964107,0.0006462951,0.0003828541,0.0003692062,0.0005242254,0.0002377129
b2480,0.0001622614,0.0001358041,0.0002452619,0.0002239334,0.0002273335,0.0001702318,0.0002373091
b1452,0.0001329733,0.0001443142,0.0002510783,0.0002206313,0.0002686171,0.000241469,0.0002371199
b2687,0.0002740745,0.0002253682,0.0002200202,0.000256181,0.0002531286,0.0002049533,0.0002370155
b2531,0.0001314203,0.0001605629,0.0002271577,0.0002340959,0.000153907,0.00011693,0.0002361295
b2296,0.0002939612,0.0001381297,0.0007212055,0.000213441,0.0003517757,0.0002891318,0.0002348456
b0154,0.0001798493,0.0001526087,0.0001968031,0.0002197018,0.0002071261,0.0001830222,0.0002338591
b3230,0.0001403362,0.0001456233,0.0001749967,0.0002257162,0.0002105145,0.0001677818,0.0002322044
b2529,0.000244065,0.0002064775,0.0001922762,0.000237751,0.0002907386,0.0001725328,0.0002314179
b1123,0.0001827662,0.0001436748,0.0001914529,0.0002136269,0.000201104,0.0002365177,0.0002300923
b2614,0.0001739461,0.0002019861,0.0001994507,0.0002445356,0.0002139664,0.0002024318,0.0002280687
b0932,0.0002202732,0.0002629642,0.0002642824,0.0002674156,0.0002475143,0.0002554008,0.0002271781
b0623,0.0001549289,0.0001171893,0.0002498109,0.0002447755,0.0002658438,0.000250616,0.0002270306
b0237,0.0002900174,0.0003283908,0.0002729992,0.0002898571,0.0003168118,0.0003044798,0.000225767
b4243,0.0002149389,0.0002899169,0.0002198875,0.0002332717,0.0001922708,0.0002902879,0.0002234079
b1260,0.0001711835,0.0001497363,0.000196496,0.000207875,0.0001886278,0.000132185,0.0002232895
b0474,0.0001521323,0.0002080832,0.0002443903,0.000165197,0.0001787159,0.0002703927,0.0002207782
b0854,0.000324203,0.0002322982,0.000334594,0.0003394419,0.0002276564,0.000252501,0.0002191717
b0893,0.0001552417,0.0002064345,0.0002062812,0.0001965001,0.0002292572,0.0001974421,0.0002168314
b3251,0.0002226184,0.0001791292,0.0002366619,0.0002470434,0.0002290113,0.0002168746,0.0002145583
b1740,0.0001791808,0.0001576933,0.0001348882,0.00018012,0.0001729281,0.0001283436,0.0002138096
b1093,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
b0415,0.000115944,0.0001800255,0.000167306,0.0001729247,0.0001553181,0.0001761682,0.0002101343
b3307,0.0001310559,0.0001180747,0.0001315827,0.0001683274,0.0002347302,0.0001754393,0.0002068
b0172,0.0001229317,0.0001409225,0.0001625012,0.0001635271,0.0001477698,0.0001424979,0.0002065783
b0710,0.0002959588,0.0002640182,0.0002324022,0.0002651946,0.0002276385,0.0002494722,0.0002061961
b0819,0.000140512,0.0001174176,0.0001721841,0.0001635238,0.0001758257,0.0001728683,0.000204853
b2150,0.0070565464,0.0015275726,0.0012931545,0.0011909936,0.0005891873,0.0018841361,0.0002039543
b0071,0.0002675089,0.0003272407,0.0001652719,0.0002225396,0.0002102706,0.0002761079,0.0002039485
b0889,0.0003225406,0.0002237876,0.000219637,0.0002521219,0.0002586798,0.0002140411,0.0002038549
b3229,0.000188202,0.0001687483,0.0001861669,0.0001950233,0.0001989332,0.0002024466,0.0002031715
b1482,0.0008284053,0.000376957,0.0001835677,0.0002345894,0.0001430624,0.0002365083,0.000203072
b2022,0.0001266732,7.60802718966E-05,0.0001196153,0.0001747673,0.0001317685,0.0001138842,0.0001993887
b2478,0.0001651261,0.0001556723,0.0002087638,0.000226928,0.0002619938,0.0002455521,0.0001988544
b1004,0.0003856538,0.0003761917,0.0001756563,0.0002679695,0.0001817152,0.0002355639,0.0001959773
b3671,0.0001260517,0.0001857324,9.26461831074E-05,0.0002346485,0.0001693395,0.0002010628,0.0001951852
b1092,8.4078636156E-05,0.0001435691,0.000148882,0.0001410918,0.0001263324,0.0001369041,0.0001944511
b1203,0.000095156,7.93701944622E-05,0.0001345534,0.0001612822,0.0001424234,0.0001278575,0.0001941243
b0683,0.0001711739,0.000139794,0.0001898892,0.0001843784,0.000184253,0.000177572,0.0001931885
b1729,8.98555597728E-05,7.75977846943E-05,0.0001354114,9.12911294851E-05,0.0001762434,0.0001216562,0.0001922338
b1637,0.0001322042,0.0001162389,0.0001278314,0.0001457879,0.0001766954,0.0001352285,0.0001917875
b1603,9.8309587879E-05,7.14254295168E-05,0.0001552514,0.0001404705,0.0002671612,0.0001306823,0.0001876146
b2669,7.65164436293E-05,7.12229235766E-05,5.86427836041E-05,7.31486712172E-05,9.39585359915E-05,0.000094107,0.0001866135
b3301,0.0001171655,0.0001111197,0.0001556673,0.0001763056,0.0002876563,0.0001444842,0.0001854278
b3928,9.05046899422E-05,0.0001781418,0.0001505916,0.0001602744,0.0001327573,8.19994287065E-05,0.0001850305
b3098,0.0005374973,0.0002494869,0.0002020021,0.0003275813,0.0002011418,0.0002570326,0.0001847239
b3458,0.0001522616,9.54995773991E-05,0.0001456047,0.0001747885,0.0001548662,0.000184056,0.0001847194
b3498,0.0001811416,0.000183079,0.0001598962,0.0001770435,0.0001736497,0.0001625718,0.0001845337
b0574,0.0001933269,0.0001864327,0.0001186327,0.0002754709,0.0002878617,0.0002342316,0.0001831593
