reaction_id,reaction_string,EC_number
EX_14glucan_e,"1,4-alpha-D-glucan ⇒ ",2.4.1.161
EX_15dap_e,"1,5-Diaminopentane ⇒ ",
EX_23camp_e,"2',3'-Cyclic AMP ⇒ ",
EX_23ccmp_e,"2',3'-Cyclic CMP ⇒ ",
EX_23cgmp_e,"2',3'-Cyclic GMP ⇒ ",
EX_23cump_e,"2',3'-Cyclic UMP ⇒ ",
EX_23dappa_e,"2,3-diaminopropionate ⇒ ",
EX_26dap__M_e,"Meso-2,6-Diaminoheptanedioate ⇒ ",
EX_2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate ⇒ ,
EX_34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde ⇒ ",
EX_3amp_e,3'-AMP ⇒ ,
EX_3cmp_e,3'-cmp ⇒ ,
EX_3gmp_e,3'-GMP ⇒ ,
EX_3hcinnm_e,3-hydroxycinnamic acid ⇒ ,
EX_3hpp_e,3-Hydroxypropanoate ⇒ ,
EX_3hpppn_e,3-(3-hydroxy-phenyl)propionate ⇒ ,
EX_3ump_e,3'-UMP ⇒ ,
EX_4abut_e,4-Aminobutanoate ⇒ ,
EX_4hoxpacd_e,4-Hydroxyphenylacetaldehyde ⇒ ,
EX_5dglcn_e,5-Dehydro-D-gluconate ⇒ ,
EX_5mtr_e,5-Methylthio-D-ribose ⇒ ,
EX_LalaDglu_e,L-alanine-D-glutamate ⇒ ,
EX_LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate ⇒ ",
EX_LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine ⇒ ",
EX_LalaLglu_e,L-alanine-L-glutamate ⇒ ,
EX_ac_e,Acetate ⇒ ,
EX_acac_e,Acetoacetate ⇒ ,
EX_acald_e,Acetaldehyde ⇒ ,
EX_acgal_e,N-Acetyl-D-galactosamine ⇒ ,
EX_acgal1p_e,N-Acetyl-D-galactosamine 1-phosphate ⇒ ,
EX_acgam_e,N-Acetyl-D-glucosamine ⇒ ,
EX_acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate ⇒ ,
EX_acmana_e,N-Acetyl-D-mannosamine ⇒ ,
EX_acmum_e,N-Acetylmuramate ⇒ ,
EX_acnam_e,N-Acetylneuraminate ⇒ ,
EX_acolipa_e,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A ⇒ ,
EX_acser_e,O-Acetyl-L-serine ⇒ ,
EX_ade_e,Adenine ⇒ ,
EX_adn_e,Adenosine ⇒ ,
EX_adocbl_e,Adenosylcobalamin ⇒ ,
EX_ag_e,Silver ⇒ ,
EX_agm_e,Agmatine ⇒ ,
EX_akg_e,2-Oxoglutarate ⇒ ,
EX_ala_B_e,Beta-Alanine ⇒ ,
EX_ala__D_e,D-Alanine ⇒ ,
EX_ala__L_e,L-Alanine ⇒ ,
EX_alaala_e,D-Alanyl-D-alanine ⇒ ,
EX_all__D_e,D-Allose ⇒ ,
EX_alltn_e,Allantoin ⇒ ,
EX_amp_e,AMP ⇒ ,
EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid ⇒ ,
EX_arab__L_e,L-Arabinose ⇒ ,
EX_arbt_e,Arbutin ⇒ ,
EX_arbtn_e,Aerobactin minus Fe3 ⇒ ,
EX_arbtn_fe3_e,Aerobactin ⇒ ,
EX_arg__L_e,L-Arginine ⇒ ,
EX_ascb__L_e,L-Ascorbate ⇒ ,
EX_asn__L_e,L-Asparagine ⇒ ,
EX_aso3_e,Arsenite ⇒ ,
EX_asp__L_e,L-Aspartate ⇒ ,
EX_btn_e,Biotin ⇒ ,
EX_but_e,Butyrate (n-C4:0) ⇒ ,
EX_butso3_e,Butanesulfonate ⇒ ,
EX_ca2_e,Calcium ⇒ ,
EX_cbi_e,Cobinamide ⇒ ,
EX_cbl1_e,Cob(I)alamin ⇒ ,
EX_cd2_e,Cadmium ⇒ ,
EX_cgly_e,Cys-Gly ⇒ ,
EX_chol_e,Choline ⇒ ,
EX_chtbs_e,"N,N'-diacetylchitobiose ⇒ ",
EX_cit_e,Citrate ⇒ ,
EX_cl_e,Chloride ⇒ ,
EX_cm_e,Chloramphenicol ⇒ ,
EX_cmp_e,CMP ⇒ ,
EX_co2_e,CO2 ⇒ ,
EX_cobalt2_e,Co2+ ⇒ ,
EX_colipa_e,Core oligosaccharide lipid A ⇒ ,
EX_colipap_e,Core oligosaccharide lipid A diphosphate ⇒ ,
EX_cpgn_e,Coprogen ⇒ ,
EX_cpgn_un_e,Coprogen unloaded (no Fe(III)) ⇒ ,
EX_crn_e,L-Carnitine ⇒ ,
EX_crn__D_e,D-Carnitine ⇒ ,
EX_csn_e,Cytosine ⇒ ,
EX_cu_e,Cu+ ⇒ ,
EX_cu2_e,Cu2+ ⇒ ,
EX_cyan_e,Hydrogen cyanide ⇒ ,
EX_cynt_e,Cyanate ⇒ ,
EX_cys__D_e,D-Cysteine ⇒ ,
EX_cys__L_e,L-Cysteine ⇒ ,
EX_cytd_e,Cytidine ⇒ ,
EX_dad_2_e,Deoxyadenosine ⇒ ,
EX_damp_e,DAMP ⇒ ,
EX_dca_e,Decanoate (n-C10:0) ⇒ ,
EX_dcmp_e,DCMP ⇒ ,
EX_dcyt_e,Deoxycytidine ⇒ ,
EX_ddca_e,Dodecanoate (n-C12:0) ⇒ ,
EX_dgmp_e,DGMP ⇒ ,
EX_dgsn_e,Deoxyguanosine ⇒ ,
EX_dha_e,Dihydroxyacetone ⇒ ,
EX_dimp_e,DIMP ⇒ ,
EX_din_e,Deoxyinosine ⇒ ,
EX_dms_e,Dimethyl sulfide ⇒ ,
EX_dmso_e,Dimethyl sulfoxide ⇒ ,
EX_dopa_e,Dopamine ⇒ ,
EX_doxrbcn_e,Doxorubicin ⇒ ,
EX_dtmp_e,DTMP ⇒ ,
EX_dump_e,DUMP ⇒ ,
EX_duri_e,Deoxyuridine ⇒ ,
EX_eca4colipa_e,(enterobacterial common antigen)x4 core oligosaccharide lipid A ⇒ ,
EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) ⇒ ,
EX_enter_e,Enterochelin ⇒ ,
EX_etha_e,Ethanolamine ⇒ ,
EX_ethso3_e,Ethanesulfonate ⇒ ,
EX_etoh_e,Ethanol ⇒ ,
EX_f6p_e,D-Fructose 6-phosphate ⇒ ,
EX_fald_e,Formaldehyde ⇒ ,
EX_fe2_e,Fe2+ ⇒ ,
EX_fe3_e,Fe3+ ⇒ ,
EX_fe3dcit_e,Fe(III)dicitrate ⇒ ,
EX_fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine ⇒ ",
EX_fe3hox_e,Fe(III)hydroxamate ⇒ ,
EX_fe3hox_un_e,"Fe(III)hydoxamate, unloaded ⇒ ",
EX_fecrm_e,Ferrichrome ⇒ ,
EX_fecrm_un_e,Ferrichrome minus Fe(III) ⇒ ,
EX_feenter_e,Fe-enterobactin ⇒ ,
EX_feoxam_e,Ferroxamine ⇒ ,
EX_feoxam_un_e,Ferroxamine minus Fe(3) ⇒ ,
EX_for_e,Formate ⇒ ,
EX_fru_e,D-Fructose ⇒ ,
EX_frulys_e,Fructoselysine ⇒ ,
EX_fruur_e,D-Fructuronate ⇒ ,
EX_fuc__L_e,L-Fucose ⇒ ,
EX_fum_e,Fumarate ⇒ ,
EX_fusa_e,Fusidic acid ⇒ ,
EX_g1p_e,D-Glucose 1-phosphate ⇒ ,
EX_g3pc_e,Sn-Glycero-3-phosphocholine ⇒ ,
EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine ⇒ ,
EX_g3pg_e,Glycerophosphoglycerol ⇒ ,
EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol ⇒ ,
EX_g3ps_e,Glycerophosphoserine ⇒ ,
EX_g6p_e,D-Glucose 6-phosphate ⇒ ,
EX_gal_e,D-Galactose ⇒ ,
EX_gal_bD_e,Beta D-Galactose ⇒ ,
EX_gal1p_e,Alpha-D-Galactose 1-phosphate ⇒ ,
EX_galct__D_e,D-Galactarate ⇒ ,
EX_galctn__D_e,D-Galactonate ⇒ ,
EX_galctn__L_e,L-Galactonate ⇒ ,
EX_galt_e,Galactitol ⇒ ,
EX_galur_e,D-Galacturonate ⇒ ,
EX_gam_e,D-Glucosamine ⇒ ,
EX_gam6p_e,D-Glucosamine 6-phosphate ⇒ ,
EX_gbbtn_e,Gamma-butyrobetaine ⇒ ,
EX_gdp_e,GDP ⇒ ,
EX_glc__D_e,D-Glucose ⇒ ,
EX_glcn_e,D-Gluconate ⇒ ,
EX_glcr_e,D-Glucarate ⇒ ,
EX_glcur_e,D-Glucuronate ⇒ ,
EX_glcur1p_e,D-Glucuronate 1-phosphate ⇒ ,
EX_gln__L_e,L-Glutamine ⇒ ,
EX_glu__L_e,L-Glutamate ⇒ ,
EX_gly_e,Glycine ⇒ ,
EX_glyald_e,D-Glyceraldehyde ⇒ ,
EX_glyb_e,Glycine betaine ⇒ ,
EX_glyc_e,Glycerol ⇒ ,
EX_glyc__R_e,(R)-Glycerate ⇒ ,
EX_glyc2p_e,Glycerol 2-phosphate ⇒ ,
EX_glyc3p_e,Glycerol 3-phosphate ⇒ ,
EX_glyclt_e,Glycolate ⇒ ,
EX_gmp_e,GMP ⇒ ,
EX_gsn_e,Guanosine ⇒ ,
EX_gthox_e,Oxidized glutathione ⇒ ,
EX_gthrd_e,Reduced glutathione ⇒ ,
EX_gtp_e,GTP ⇒ ,
EX_gua_e,Guanine ⇒ ,
EX_h_e,H+ ⇒ ,
EX_h2_e,H2 ⇒ ,
EX_h2o_e,H2O ⇒ ,
EX_h2o2_e,Hydrogen peroxide ⇒ ,
EX_h2s_e,Hydrogen sulfide ⇒ ,
EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) ⇒ ,
EX_halipa_e,Hepta-acylated KDO(2)-lipid (A) ⇒ ,
EX_hdca_e,Hexadecanoate (n-C16:0) ⇒ ,
EX_hdcea_e,Hexadecenoate (n-C16:1) ⇒ ,
EX_hg2_e,Hg2+ ⇒ ,
EX_his__L_e,L-Histidine ⇒ ,
EX_hom__L_e,L-Homoserine ⇒ ,
EX_hxa_e,Hexanoate (n-C6:0) ⇒ ,
EX_hxan_e,Hypoxanthine ⇒ ,
EX_idon__L_e,L-Idonate ⇒ ,
EX_ile__L_e,L-Isoleucine ⇒ ,
EX_imp_e,IMP ⇒ ,
EX_indole_e,Indole ⇒ ,
EX_inost_e,Myo-Inositol ⇒ ,
EX_ins_e,Inosine ⇒ ,
EX_isetac_e,Isethionic acid ⇒ ,
EX_k_e,Potassium ⇒ ,
EX_kdo2lipid4_e,KDO(2)-lipid IV(A) ⇒ ,
EX_lac__D_e,D-Lactate ⇒ ,
EX_lac__L_e,L-Lactate ⇒ ,
EX_lcts_e,Lactose ⇒ ,
EX_leu__L_e,L-Leucine ⇒ ,
EX_lipa_e,KDO(2)-lipid (A) ⇒ ,
EX_lipa_cold_e,Cold adapted KDO(2)-lipid (A) ⇒ ,
EX_lipoate_e,Lipoate ⇒ ,
EX_lys__L_e,L-Lysine ⇒ ,
EX_lyx__L_e,L-Lyxose ⇒ ,
EX_mal__D_e,D-Malate ⇒ ,
EX_mal__L_e,L-Malate ⇒ ,
EX_malt_e,Maltose ⇒ ,
EX_malthx_e,Maltohexaose ⇒ ,
EX_maltpt_e,Maltopentaose ⇒ ,
EX_malttr_e,Maltotriose ⇒ ,
EX_maltttr_e,Maltotetraose ⇒ ,
EX_man_e,D-Mannose ⇒ ,
EX_man6p_e,D-Mannose 6-phosphate ⇒ ,
EX_manglyc_e,2(alpha-D-Mannosyl)-D-glycerate ⇒ ,
EX_melib_e,Melibiose ⇒ ,
EX_meoh_e,Methanol ⇒ ,
EX_met__D_e,D-Methionine ⇒ ,
EX_met__L_e,L-Methionine ⇒ ,
EX_metsox_R__L_e,L-methionine-R-sulfoxide ⇒ ,
EX_metsox_S__L_e,L-Methionine Sulfoxide ⇒ ,
EX_mg2_e,Magnesium ⇒ ,
EX_mincyc_e,Minocycline ⇒ ,
EX_minohp_e,Myo-Inositol hexakisphosphate ⇒ ,
EX_mmet_e,S-Methyl-L-methionine ⇒ ,
EX_mn2_e,Mn2+ ⇒ ,
EX_mnl_e,D-Mannitol ⇒ ,
EX_mobd_e,Molybdate ⇒ ,
EX_mso3_e,Methanesulfonate ⇒ ,
EX_n2o_e,Nitrous oxide ⇒ ,
EX_na1_e,Sodium ⇒ ,
EX_nac_e,Nicotinate ⇒ ,
EX_nh4_e,Ammonium ⇒ ,
EX_ni2_e,Nickel ⇒ ,
EX_nmn_e,NMN ⇒ ,
EX_no_e,Nitric oxide ⇒ ,
EX_no2_e,Nitrite ⇒ ,
EX_no3_e,Nitrate ⇒ ,
EX_novbcn_e,Novobiocin ⇒ ,
EX_o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A ⇒ ,
EX_o2_e,O2 ⇒ ,
EX_o2s_e,Superoxide anion ⇒ ,
EX_ocdca_e,Octadecanoate (n-C18:0) ⇒ ,
EX_ocdcea_e,Octadecenoate (n-C18:1) ⇒ ,
EX_octa_e,Octanoate (n-C8:0) ⇒ ,
EX_orn_e,Ornithine ⇒ ,
EX_orot_e,Orotate ⇒ ,
EX_pacald_e,Phenylacetaldehyde ⇒ ,
EX_peamn_e,Phenethylamine ⇒ ,
EX_phe__L_e,L-Phenylalanine ⇒ ,
EX_pheme_e,Protoheme ⇒ ,
EX_pi_e,Phosphate ⇒ ,
EX_pnto__R_e,(R)-Pantothenate ⇒ ,
EX_ppa_e,Propionate (n-C3:0) ⇒ ,
EX_ppal_e,Propanal ⇒ ,
EX_pppn_e,Phenylpropanoate ⇒ ,
EX_ppt_e,Phosphonate ⇒ ,
EX_pro__L_e,L-Proline ⇒ ,
EX_progly_e,L-Prolinylglycine ⇒ ,
EX_psclys_e,Psicoselysine ⇒ ,
EX_pser__L_e,O-Phospho-L-serine ⇒ ,
EX_ptrc_e,Putrescine ⇒ ,
EX_pydam_e,Pyridoxamine ⇒ ,
EX_pydx_e,Pyridoxal ⇒ ,
EX_pydxn_e,Pyridoxine ⇒ ,
EX_pyr_e,Pyruvate ⇒ ,
EX_quin_e,Quinate ⇒ ,
EX_r5p_e,Alpha-D-Ribose 5-phosphate ⇒ ,
EX_rfamp_e,Rifampin ⇒ ,
EX_rib__D_e,D-Ribose ⇒ ,
EX_rmn_e,L-Rhamnose ⇒ ,
EX_sbt__D_e,D-Sorbitol ⇒ ,
EX_sel_e,Selenate ⇒ ,
EX_ser__D_e,D-Serine ⇒ ,
EX_ser__L_e,L-Serine ⇒ ,
EX_skm_e,Shikimate ⇒ ,
EX_slnt_e,Selenite ⇒ ,
EX_so2_e,Sulfur dioxide ⇒ ,
EX_so3_e,Sulfite ⇒ ,
EX_so4_e,Sulfate ⇒ ,
EX_spmd_e,Spermidine ⇒ ,
EX_succ_e,Succinate ⇒ ,
EX_sucr_e,Sucrose ⇒ ,
EX_sulfac_e,Sulfoacetate ⇒ ,
EX_tartr__D_e,D-tartrate ⇒ ,
EX_tartr__L_e,L-tartrate ⇒ ,
EX_taur_e,Taurine ⇒ ,
EX_tcynt_e,Thiocyanate ⇒ ,
EX_thm_e,Thiamin ⇒ ,
EX_thr__L_e,L-Threonine ⇒ ,
EX_thrp_e,L-Threonine O-3-phosphate ⇒ ,
EX_thym_e,Thymine ⇒ ,
EX_thymd_e,Thymidine ⇒ ,
EX_tma_e,Trimethylamine ⇒ ,
EX_tmao_e,Trimethylamine N-oxide ⇒ ,
EX_tre_e,Trehalose ⇒ ,
EX_trp__L_e,L-Tryptophan ⇒ ,
EX_tsul_e,Thiosulfate ⇒ ,
EX_ttdca_e,Tetradecanoate (n-C14:0) ⇒ ,
EX_ttdcea_e,Tetradecenoate (n-C14:1) ⇒ ,
EX_ttrcyc_e,Tetracycline ⇒ ,
EX_tungs_e,Tungstate ⇒ ,
EX_tym_e,Tyramine ⇒ ,
EX_tyr__L_e,L-Tyrosine ⇒ ,
EX_tyrp_e,Phosphotyrosine ⇒ ,
EX_uacgam_e,UDP-N-acetyl-D-glucosamine ⇒ ,
EX_udpacgal_e,UDP-N-acetyl-D-galactosamine ⇒ ,
EX_udpg_e,UDPglucose ⇒ ,
EX_udpgal_e,UDPgalactose ⇒ ,
EX_udpglcur_e,UDP-D-glucuronate ⇒ ,
EX_ump_e,UMP ⇒ ,
EX_ura_e,Uracil ⇒ ,
EX_urea_e,Urea ⇒ ,
EX_uri_e,Uridine ⇒ ,
EX_val__L_e,L-Valine ⇒ ,
EX_xan_e,Xanthine ⇒ ,
EX_xmp_e,Xanthosine 5'-phosphate ⇒ ,
EX_xtsn_e,Xanthosine ⇒ ,
EX_xyl__D_e,D-Xylose ⇒ ,
EX_xylu__L_e,L-Xylulose ⇒ ,
EX_zn2_e,Zinc ⇒ ,
12DGR120tipp,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0) ⇒ 1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",
12DGR140tipp,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0) ⇒ 1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",
12DGR141tipp,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1) ⇒ 1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",
12DGR160tipp,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0) ⇒ 1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",
12DGR161tipp,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1) ⇒ 1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",
12DGR180tipp,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0) ⇒ 1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",
12DGR181tipp,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1) ⇒ 1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",
12PPDRtex,"(R)-Propane-1,2-diol ⇒ (R)-Propane-1,2-diol",
12PPDRtpp,"(R)-Propane-1,2-diol ⇒ (R)-Propane-1,2-diol",
12PPDStex,"(S)-Propane-1,2-diol ⇒ (S)-Propane-1,2-diol",
12PPDStpp,"(S)-Propane-1,2-diol ⇒ (S)-Propane-1,2-diol",
14GLUCANabcpp,"1,4-alpha-D-glucan + ATP + H2O ⇒ 1,4-alpha-D-glucan + ADP + H+ + Phosphate",
14GLUCANtexi,"1,4-alpha-D-glucan ⇒ 1,4-alpha-D-glucan",2.4.1.161
23CAMPtex,"2',3'-Cyclic AMP ⇒ 2',3'-Cyclic AMP",
23CCMPtex,"2',3'-Cyclic CMP ⇒ 2',3'-Cyclic CMP",
23CGMPtex,"2',3'-Cyclic GMP ⇒ 2',3'-Cyclic GMP",
23CUMPtex,"2',3'-Cyclic UMP ⇒ 2',3'-Cyclic UMP",
23DAPPAt2pp,"2,3-diaminopropionate + H+ ⇒ 2,3-diaminopropionate + H+",
23DAPPAtex,"2,3-diaminopropionate ⇒ 2,3-diaminopropionate",
23PDE2pp,"2',3'-Cyclic UMP + H2O ⇒ 3'-UMP + H+",3.1.4.16
23PDE4pp,"2',3'-Cyclic CMP + H2O ⇒ 3'-cmp + H+",3.1.4.16
23PDE7pp,"2',3'-Cyclic AMP + H2O ⇒ 3'-AMP + H+",3.1.4.16
23PDE9pp,"2',3'-Cyclic GMP + H2O ⇒ 3'-GMP + H+",3.1.4.16
26DAHtex,"Meso-2,6-Diaminoheptanedioate ⇒ Meso-2,6-Diaminoheptanedioate",
2AGPA120tipp,2-dodecanoyl-sn-glycerol 3-phosphate ⇒ 2-dodecanoyl-sn-glycerol 3-phosphate,
2AGPA140tipp,2-tetradecanoyl-sn-glycerol 3-phosphate ⇒ 2-tetradecanoyl-sn-glycerol 3-phosphate,
2AGPA141tipp,2-tetradec-7-enoyl-sn-glycerol 3-phosphate ⇒ 2-tetradec-7-enoyl-sn-glycerol 3-phosphate,
2AGPA160tipp,2-hexadecanoyl-sn-glycerol 3-phosphate ⇒ 2-hexadecanoyl-sn-glycerol 3-phosphate,
