,BIGG_id,reaction_id,reaction_string,EC_number
10,EX_14glucan_e,EX_14glucan_e,"1,4-alpha-D-glucan ⇒ ",2.4.1.161
11,EX_15dap_e,EX_15dap_e,"1,5-Diaminopentane ⇒ ",
12,EX_23camp_e,EX_23camp_e,"2',3'-Cyclic AMP ⇒ ",
13,EX_23ccmp_e,EX_23ccmp_e,"2',3'-Cyclic CMP ⇒ ",
14,EX_23cgmp_e,EX_23cgmp_e,"2',3'-Cyclic GMP ⇒ ",
15,EX_23cump_e,EX_23cump_e,"2',3'-Cyclic UMP ⇒ ",
16,EX_23dappa_e,EX_23dappa_e,"2,3-diaminopropionate ⇒ ",
17,EX_26dap__M_e,EX_26dap__M_e,"Meso-2,6-Diaminoheptanedioate ⇒ ",
18,EX_2ddglcn_e,EX_2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate ⇒ ,
19,EX_34dhpac_e,EX_34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde ⇒ ",
20,EX_3amp_e,EX_3amp_e,3'-AMP ⇒ ,
21,EX_3cmp_e,EX_3cmp_e,3'-cmp ⇒ ,
22,EX_3gmp_e,EX_3gmp_e,3'-GMP ⇒ ,
23,EX_3hcinnm_e,EX_3hcinnm_e,3-hydroxycinnamic acid ⇒ ,
24,EX_3hpp_e,EX_3hpp_e,3-Hydroxypropanoate ⇒ ,
25,EX_3hpppn_e,EX_3hpppn_e,3-(3-hydroxy-phenyl)propionate ⇒ ,
26,EX_3ump_e,EX_3ump_e,3'-UMP ⇒ ,
27,EX_4abut_e,EX_4abut_e,4-Aminobutanoate ⇒ ,
28,EX_4hoxpacd_e,EX_4hoxpacd_e,4-Hydroxyphenylacetaldehyde ⇒ ,
29,EX_5dglcn_e,EX_5dglcn_e,5-Dehydro-D-gluconate ⇒ ,
30,EX_5mtr_e,EX_5mtr_e,5-Methylthio-D-ribose ⇒ ,
31,EX_LalaDglu_e,EX_LalaDglu_e,L-alanine-D-glutamate ⇒ ,
32,EX_LalaDgluMdap_e,EX_LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate ⇒ ",
33,EX_LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine ⇒ ",
34,EX_LalaLglu_e,EX_LalaLglu_e,L-alanine-L-glutamate ⇒ ,
35,EX_ac_e,EX_ac_e,Acetate ⇒ ,
36,EX_acac_e,EX_acac_e,Acetoacetate ⇒ ,
37,EX_acald_e,EX_acald_e,Acetaldehyde ⇒ ,
38,EX_acgal_e,EX_acgal_e,N-Acetyl-D-galactosamine ⇒ ,
39,EX_acgal1p_e,EX_acgal1p_e,N-Acetyl-D-galactosamine 1-phosphate ⇒ ,
40,EX_acgam_e,EX_acgam_e,N-Acetyl-D-glucosamine ⇒ ,
41,EX_acgam1p_e,EX_acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate ⇒ ,
42,EX_acmana_e,EX_acmana_e,N-Acetyl-D-mannosamine ⇒ ,
43,EX_acmum_e,EX_acmum_e,N-Acetylmuramate ⇒ ,
44,EX_acnam_e,EX_acnam_e,N-Acetylneuraminate ⇒ ,
45,EX_acolipa_e,EX_acolipa_e,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A ⇒ ,
46,EX_acser_e,EX_acser_e,O-Acetyl-L-serine ⇒ ,
47,EX_ade_e,EX_ade_e,Adenine ⇒ ,
48,EX_adn_e,EX_adn_e,Adenosine ⇒ ,
49,EX_adocbl_e,EX_adocbl_e,Adenosylcobalamin ⇒ ,
50,EX_ag_e,EX_ag_e,Silver ⇒ ,
51,EX_agm_e,EX_agm_e,Agmatine ⇒ ,
52,EX_akg_e,EX_akg_e,2-Oxoglutarate ⇒ ,
53,EX_ala_B_e,EX_ala_B_e,Beta-Alanine ⇒ ,
54,EX_ala__D_e,EX_ala__D_e,D-Alanine ⇒ ,
55,EX_ala__L_e,EX_ala__L_e,L-Alanine ⇒ ,
56,EX_alaala_e,EX_alaala_e,D-Alanyl-D-alanine ⇒ ,
57,EX_all__D_e,EX_all__D_e,D-Allose ⇒ ,
58,EX_alltn_e,EX_alltn_e,Allantoin ⇒ ,
59,EX_amp_e,EX_amp_e,AMP ⇒ ,
60,EX_anhgm_e,EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid ⇒ ,
61,EX_arab__L_e,EX_arab__L_e,L-Arabinose ⇒ ,
62,EX_arbt_e,EX_arbt_e,Arbutin ⇒ ,
63,EX_arbtn_e,EX_arbtn_e,Aerobactin minus Fe3 ⇒ ,
64,EX_arbtn_fe3_e,EX_arbtn_fe3_e,Aerobactin ⇒ ,
65,EX_arg__L_e,EX_arg__L_e,L-Arginine ⇒ ,
66,EX_ascb__L_e,EX_ascb__L_e,L-Ascorbate ⇒ ,
67,EX_asn__L_e,EX_asn__L_e,L-Asparagine ⇒ ,
68,EX_aso3_e,EX_aso3_e,Arsenite ⇒ ,
69,EX_asp__L_e,EX_asp__L_e,L-Aspartate ⇒ ,
70,EX_btn_e,EX_btn_e,Biotin ⇒ ,
71,EX_but_e,EX_but_e,Butyrate (n-C4:0) ⇒ ,
72,EX_butso3_e,EX_butso3_e,Butanesulfonate ⇒ ,
73,EX_ca2_e,EX_ca2_e,Calcium ⇒ ,
74,EX_cbi_e,EX_cbi_e,Cobinamide ⇒ ,
75,EX_cbl1_e,EX_cbl1_e,Cob(I)alamin ⇒ ,
76,EX_cd2_e,EX_cd2_e,Cadmium ⇒ ,
77,EX_cgly_e,EX_cgly_e,Cys-Gly ⇒ ,
78,EX_chol_e,EX_chol_e,Choline ⇒ ,
79,EX_chtbs_e,EX_chtbs_e,"N,N'-diacetylchitobiose ⇒ ",
80,EX_cit_e,EX_cit_e,Citrate ⇒ ,
81,EX_cl_e,EX_cl_e,Chloride ⇒ ,
82,EX_cm_e,EX_cm_e,Chloramphenicol ⇒ ,
83,EX_cmp_e,EX_cmp_e,CMP ⇒ ,
84,EX_co2_e,EX_co2_e,CO2 ⇒ ,
85,EX_cobalt2_e,EX_cobalt2_e,Co2+ ⇒ ,
86,EX_colipa_e,EX_colipa_e,Core oligosaccharide lipid A ⇒ ,
87,EX_colipap_e,EX_colipap_e,Core oligosaccharide lipid A diphosphate ⇒ ,
88,EX_cpgn_e,EX_cpgn_e,Coprogen ⇒ ,
89,EX_cpgn_un_e,EX_cpgn_un_e,Coprogen unloaded (no Fe(III)) ⇒ ,
90,EX_crn_e,EX_crn_e,L-Carnitine ⇒ ,
91,EX_crn__D_e,EX_crn__D_e,D-Carnitine ⇒ ,
92,EX_csn_e,EX_csn_e,Cytosine ⇒ ,
93,EX_cu_e,EX_cu_e,Cu+ ⇒ ,
94,EX_cu2_e,EX_cu2_e,Cu2+ ⇒ ,
95,EX_cyan_e,EX_cyan_e,Hydrogen cyanide ⇒ ,
96,EX_cynt_e,EX_cynt_e,Cyanate ⇒ ,
97,EX_cys__D_e,EX_cys__D_e,D-Cysteine ⇒ ,
98,EX_cys__L_e,EX_cys__L_e,L-Cysteine ⇒ ,
99,EX_cytd_e,EX_cytd_e,Cytidine ⇒ ,
100,EX_dad_2_e,EX_dad_2_e,Deoxyadenosine ⇒ ,
101,EX_damp_e,EX_damp_e,DAMP ⇒ ,
102,EX_dca_e,EX_dca_e,Decanoate (n-C10:0) ⇒ ,
103,EX_dcmp_e,EX_dcmp_e,DCMP ⇒ ,
104,EX_dcyt_e,EX_dcyt_e,Deoxycytidine ⇒ ,
105,EX_ddca_e,EX_ddca_e,Dodecanoate (n-C12:0) ⇒ ,
106,EX_dgmp_e,EX_dgmp_e,DGMP ⇒ ,
107,EX_dgsn_e,EX_dgsn_e,Deoxyguanosine ⇒ ,
108,EX_dha_e,EX_dha_e,Dihydroxyacetone ⇒ ,
109,EX_dimp_e,EX_dimp_e,DIMP ⇒ ,
110,EX_din_e,EX_din_e,Deoxyinosine ⇒ ,
111,EX_dms_e,EX_dms_e,Dimethyl sulfide ⇒ ,
112,EX_dmso_e,EX_dmso_e,Dimethyl sulfoxide ⇒ ,
113,EX_dopa_e,EX_dopa_e,Dopamine ⇒ ,
114,EX_doxrbcn_e,EX_doxrbcn_e,Doxorubicin ⇒ ,
115,EX_dtmp_e,EX_dtmp_e,DTMP ⇒ ,
116,EX_dump_e,EX_dump_e,DUMP ⇒ ,
117,EX_duri_e,EX_duri_e,Deoxyuridine ⇒ ,
118,EX_eca4colipa_e,EX_eca4colipa_e,(enterobacterial common antigen)x4 core oligosaccharide lipid A ⇒ ,
119,EX_enlipa_e,EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) ⇒ ,
120,EX_enter_e,EX_enter_e,Enterochelin ⇒ ,
121,EX_etha_e,EX_etha_e,Ethanolamine ⇒ ,
122,EX_ethso3_e,EX_ethso3_e,Ethanesulfonate ⇒ ,
123,EX_etoh_e,EX_etoh_e,Ethanol ⇒ ,
124,EX_f6p_e,EX_f6p_e,D-Fructose 6-phosphate ⇒ ,
125,EX_fald_e,EX_fald_e,Formaldehyde ⇒ ,
126,EX_fe2_e,EX_fe2_e,Fe2+ ⇒ ,
127,EX_fe3_e,EX_fe3_e,Fe3+ ⇒ ,
128,EX_fe3dcit_e,EX_fe3dcit_e,Fe(III)dicitrate ⇒ ,
129,EX_fe3dhbzs_e,EX_fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine ⇒ ",
130,EX_fe3hox_e,EX_fe3hox_e,Fe(III)hydroxamate ⇒ ,
131,EX_fe3hox_un_e,EX_fe3hox_un_e,"Fe(III)hydoxamate, unloaded ⇒ ",
132,EX_fecrm_e,EX_fecrm_e,Ferrichrome ⇒ ,
133,EX_fecrm_un_e,EX_fecrm_un_e,Ferrichrome minus Fe(III) ⇒ ,
134,EX_feenter_e,EX_feenter_e,Fe-enterobactin ⇒ ,
135,EX_feoxam_e,EX_feoxam_e,Ferroxamine ⇒ ,
136,EX_feoxam_un_e,EX_feoxam_un_e,Ferroxamine minus Fe(3) ⇒ ,
137,EX_for_e,EX_for_e,Formate ⇒ ,
138,EX_fru_e,EX_fru_e,D-Fructose ⇒ ,
139,EX_frulys_e,EX_frulys_e,Fructoselysine ⇒ ,
140,EX_fruur_e,EX_fruur_e,D-Fructuronate ⇒ ,
141,EX_fuc__L_e,EX_fuc__L_e,L-Fucose ⇒ ,
142,EX_fum_e,EX_fum_e,Fumarate ⇒ ,
143,EX_fusa_e,EX_fusa_e,Fusidic acid ⇒ ,
144,EX_g1p_e,EX_g1p_e,D-Glucose 1-phosphate ⇒ ,
145,EX_g3pc_e,EX_g3pc_e,Sn-Glycero-3-phosphocholine ⇒ ,
146,EX_g3pe_e,EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine ⇒ ,
147,EX_g3pg_e,EX_g3pg_e,Glycerophosphoglycerol ⇒ ,
148,EX_g3pi_e,EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol ⇒ ,
149,EX_g3ps_e,EX_g3ps_e,Glycerophosphoserine ⇒ ,
150,EX_g6p_e,EX_g6p_e,D-Glucose 6-phosphate ⇒ ,
151,EX_gal_e,EX_gal_e,D-Galactose ⇒ ,
152,EX_gal_bD_e,EX_gal_bD_e,Beta D-Galactose ⇒ ,
153,EX_gal1p_e,EX_gal1p_e,Alpha-D-Galactose 1-phosphate ⇒ ,
154,EX_galct__D_e,EX_galct__D_e,D-Galactarate ⇒ ,
155,EX_galctn__D_e,EX_galctn__D_e,D-Galactonate ⇒ ,
156,EX_galctn__L_e,EX_galctn__L_e,L-Galactonate ⇒ ,
157,EX_galt_e,EX_galt_e,Galactitol ⇒ ,
158,EX_galur_e,EX_galur_e,D-Galacturonate ⇒ ,
159,EX_gam_e,EX_gam_e,D-Glucosamine ⇒ ,
160,EX_gam6p_e,EX_gam6p_e,D-Glucosamine 6-phosphate ⇒ ,
161,EX_gbbtn_e,EX_gbbtn_e,Gamma-butyrobetaine ⇒ ,
162,EX_gdp_e,EX_gdp_e,GDP ⇒ ,
163,EX_glc__D_e,EX_glc__D_e,D-Glucose ⇒ ,
164,EX_glcn_e,EX_glcn_e,D-Gluconate ⇒ ,
165,EX_glcr_e,EX_glcr_e,D-Glucarate ⇒ ,
166,EX_glcur_e,EX_glcur_e,D-Glucuronate ⇒ ,
167,EX_glcur1p_e,EX_glcur1p_e,D-Glucuronate 1-phosphate ⇒ ,
168,EX_gln__L_e,EX_gln__L_e,L-Glutamine ⇒ ,
169,EX_glu__L_e,EX_glu__L_e,L-Glutamate ⇒ ,
170,EX_gly_e,EX_gly_e,Glycine ⇒ ,
171,EX_glyald_e,EX_glyald_e,D-Glyceraldehyde ⇒ ,
172,EX_glyb_e,EX_glyb_e,Glycine betaine ⇒ ,
173,EX_glyc_e,EX_glyc_e,Glycerol ⇒ ,
174,EX_glyc__R_e,EX_glyc__R_e,(R)-Glycerate ⇒ ,
175,EX_glyc2p_e,EX_glyc2p_e,Glycerol 2-phosphate ⇒ ,
176,EX_glyc3p_e,EX_glyc3p_e,Glycerol 3-phosphate ⇒ ,
177,EX_glyclt_e,EX_glyclt_e,Glycolate ⇒ ,
178,EX_gmp_e,EX_gmp_e,GMP ⇒ ,
179,EX_gsn_e,EX_gsn_e,Guanosine ⇒ ,
180,EX_gthox_e,EX_gthox_e,Oxidized glutathione ⇒ ,
181,EX_gthrd_e,EX_gthrd_e,Reduced glutathione ⇒ ,
182,EX_gtp_e,EX_gtp_e,GTP ⇒ ,
183,EX_gua_e,EX_gua_e,Guanine ⇒ ,
184,EX_h_e,EX_h_e,H+ ⇒ ,
185,EX_h2_e,EX_h2_e,H2 ⇒ ,
186,EX_h2o_e,EX_h2o_e,H2O ⇒ ,
187,EX_h2o2_e,EX_h2o2_e,Hydrogen peroxide ⇒ ,
188,EX_h2s_e,EX_h2s_e,Hydrogen sulfide ⇒ ,
189,EX_hacolipa_e,EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) ⇒ ,
190,EX_halipa_e,EX_halipa_e,Hepta-acylated KDO(2)-lipid (A) ⇒ ,
191,EX_hdca_e,EX_hdca_e,Hexadecanoate (n-C16:0) ⇒ ,
192,EX_hdcea_e,EX_hdcea_e,Hexadecenoate (n-C16:1) ⇒ ,
193,EX_hg2_e,EX_hg2_e,Hg2+ ⇒ ,
194,EX_his__L_e,EX_his__L_e,L-Histidine ⇒ ,
195,EX_hom__L_e,EX_hom__L_e,L-Homoserine ⇒ ,
196,EX_hxa_e,EX_hxa_e,Hexanoate (n-C6:0) ⇒ ,
197,EX_hxan_e,EX_hxan_e,Hypoxanthine ⇒ ,
198,EX_idon__L_e,EX_idon__L_e,L-Idonate ⇒ ,
199,EX_ile__L_e,EX_ile__L_e,L-Isoleucine ⇒ ,
200,EX_imp_e,EX_imp_e,IMP ⇒ ,
201,EX_indole_e,EX_indole_e,Indole ⇒ ,
202,EX_inost_e,EX_inost_e,Myo-Inositol ⇒ ,
203,EX_ins_e,EX_ins_e,Inosine ⇒ ,
204,EX_isetac_e,EX_isetac_e,Isethionic acid ⇒ ,
205,EX_k_e,EX_k_e,Potassium ⇒ ,
206,EX_kdo2lipid4_e,EX_kdo2lipid4_e,KDO(2)-lipid IV(A) ⇒ ,
207,EX_lac__D_e,EX_lac__D_e,D-Lactate ⇒ ,
208,EX_lac__L_e,EX_lac__L_e,L-Lactate ⇒ ,
209,EX_lcts_e,EX_lcts_e,Lactose ⇒ ,
210,EX_leu__L_e,EX_leu__L_e,L-Leucine ⇒ ,
211,EX_lipa_e,EX_lipa_e,KDO(2)-lipid (A) ⇒ ,
212,EX_lipa_cold_e,EX_lipa_cold_e,Cold adapted KDO(2)-lipid (A) ⇒ ,
213,EX_lipoate_e,EX_lipoate_e,Lipoate ⇒ ,
214,EX_lys__L_e,EX_lys__L_e,L-Lysine ⇒ ,
215,EX_lyx__L_e,EX_lyx__L_e,L-Lyxose ⇒ ,
216,EX_mal__D_e,EX_mal__D_e,D-Malate ⇒ ,
217,EX_mal__L_e,EX_mal__L_e,L-Malate ⇒ ,
218,EX_malt_e,EX_malt_e,Maltose ⇒ ,
219,EX_malthx_e,EX_malthx_e,Maltohexaose ⇒ ,
220,EX_maltpt_e,EX_maltpt_e,Maltopentaose ⇒ ,
221,EX_malttr_e,EX_malttr_e,Maltotriose ⇒ ,
222,EX_maltttr_e,EX_maltttr_e,Maltotetraose ⇒ ,
223,EX_man_e,EX_man_e,D-Mannose ⇒ ,
224,EX_man6p_e,EX_man6p_e,D-Mannose 6-phosphate ⇒ ,
225,EX_manglyc_e,EX_manglyc_e,2(alpha-D-Mannosyl)-D-glycerate ⇒ ,
226,EX_melib_e,EX_melib_e,Melibiose ⇒ ,
227,EX_meoh_e,EX_meoh_e,Methanol ⇒ ,
228,EX_met__D_e,EX_met__D_e,D-Methionine ⇒ ,
229,EX_met__L_e,EX_met__L_e,L-Methionine ⇒ ,
230,EX_metsox_R__L_e,EX_metsox_R__L_e,L-methionine-R-sulfoxide ⇒ ,
231,EX_metsox_S__L_e,EX_metsox_S__L_e,L-Methionine Sulfoxide ⇒ ,
232,EX_mg2_e,EX_mg2_e,Magnesium ⇒ ,
233,EX_mincyc_e,EX_mincyc_e,Minocycline ⇒ ,
234,EX_minohp_e,EX_minohp_e,Myo-Inositol hexakisphosphate ⇒ ,
235,EX_mmet_e,EX_mmet_e,S-Methyl-L-methionine ⇒ ,
236,EX_mn2_e,EX_mn2_e,Mn2+ ⇒ ,
237,EX_mnl_e,EX_mnl_e,D-Mannitol ⇒ ,
238,EX_mobd_e,EX_mobd_e,Molybdate ⇒ ,
239,EX_mso3_e,EX_mso3_e,Methanesulfonate ⇒ ,
240,EX_n2o_e,EX_n2o_e,Nitrous oxide ⇒ ,
241,EX_na1_e,EX_na1_e,Sodium ⇒ ,
242,EX_nac_e,EX_nac_e,Nicotinate ⇒ ,
243,EX_nh4_e,EX_nh4_e,Ammonium ⇒ ,
244,EX_ni2_e,EX_ni2_e,Nickel ⇒ ,
245,EX_nmn_e,EX_nmn_e,NMN ⇒ ,
246,EX_no_e,EX_no_e,Nitric oxide ⇒ ,
247,EX_no2_e,EX_no2_e,Nitrite ⇒ ,
248,EX_no3_e,EX_no3_e,Nitrate ⇒ ,
249,EX_novbcn_e,EX_novbcn_e,Novobiocin ⇒ ,
250,EX_o16a4colipa_e,EX_o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A ⇒ ,
251,EX_o2_e,EX_o2_e,O2 ⇒ ,
252,EX_o2s_e,EX_o2s_e,Superoxide anion ⇒ ,
253,EX_ocdca_e,EX_ocdca_e,Octadecanoate (n-C18:0) ⇒ ,
254,EX_ocdcea_e,EX_ocdcea_e,Octadecenoate (n-C18:1) ⇒ ,
255,EX_octa_e,EX_octa_e,Octanoate (n-C8:0) ⇒ ,
256,EX_orn_e,EX_orn_e,Ornithine ⇒ ,
257,EX_orot_e,EX_orot_e,Orotate ⇒ ,
258,EX_pacald_e,EX_pacald_e,Phenylacetaldehyde ⇒ ,
259,EX_peamn_e,EX_peamn_e,Phenethylamine ⇒ ,
260,EX_phe__L_e,EX_phe__L_e,L-Phenylalanine ⇒ ,
261,EX_pheme_e,EX_pheme_e,Protoheme ⇒ ,
262,EX_pi_e,EX_pi_e,Phosphate ⇒ ,
263,EX_pnto__R_e,EX_pnto__R_e,(R)-Pantothenate ⇒ ,
264,EX_ppa_e,EX_ppa_e,Propionate (n-C3:0) ⇒ ,
265,EX_ppal_e,EX_ppal_e,Propanal ⇒ ,
266,EX_pppn_e,EX_pppn_e,Phenylpropanoate ⇒ ,
267,EX_ppt_e,EX_ppt_e,Phosphonate ⇒ ,
268,EX_pro__L_e,EX_pro__L_e,L-Proline ⇒ ,
269,EX_progly_e,EX_progly_e,L-Prolinylglycine ⇒ ,
270,EX_psclys_e,EX_psclys_e,Psicoselysine ⇒ ,
271,EX_pser__L_e,EX_pser__L_e,O-Phospho-L-serine ⇒ ,
272,EX_ptrc_e,EX_ptrc_e,Putrescine ⇒ ,
273,EX_pydam_e,EX_pydam_e,Pyridoxamine ⇒ ,
