id,reaction,reaction_name,reaction_string,ec_number,gene_name,gene_id,organism,kcat
23CCMPtex,23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,ompC,b2215,Escherichia coli,
23CCMPtex,23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,ompN,b1377,Escherichia coli,
23CCMPtex,23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,phoE,b0241,Escherichia coli,
23CCMPtex,23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,ompF,b0929,Escherichia coli,
23CCMPtex_reverse,23CCMPtex,,"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,ompC,b2215,Escherichia coli,
23CCMPtex_reverse,23CCMPtex,,"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,ompN,b1377,Escherichia coli,
23CCMPtex_reverse,23CCMPtex,,"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,phoE,b0241,Escherichia coli,
23CCMPtex_reverse,23CCMPtex,,"2',3'-Cyclic CMP = 2',3'-Cyclic CMP",,ompF,b0929,Escherichia coli,
23CGMPtex,23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,ompC,b2215,Escherichia coli,
23CGMPtex,23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,ompN,b1377,Escherichia coli,
23CGMPtex,23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,phoE,b0241,Escherichia coli,
23CGMPtex,23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,ompF,b0929,Escherichia coli,
23CGMPtex_reverse,23CGMPtex,,"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,ompC,b2215,Escherichia coli,
23CGMPtex_reverse,23CGMPtex,,"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,ompN,b1377,Escherichia coli,
23CGMPtex_reverse,23CGMPtex,,"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,phoE,b0241,Escherichia coli,
23CGMPtex_reverse,23CGMPtex,,"2',3'-Cyclic GMP = 2',3'-Cyclic GMP",,ompF,b0929,Escherichia coli,
23CUMPtex,23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,ompC,b2215,Escherichia coli,
23CUMPtex,23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,ompN,b1377,Escherichia coli,
23CUMPtex,23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,phoE,b0241,Escherichia coli,
23CUMPtex,23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,ompF,b0929,Escherichia coli,
23CUMPtex_reverse,23CUMPtex,,"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,ompC,b2215,Escherichia coli,
23CUMPtex_reverse,23CUMPtex,,"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,ompN,b1377,Escherichia coli,
23CUMPtex_reverse,23CUMPtex,,"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,phoE,b0241,Escherichia coli,
23CUMPtex_reverse,23CUMPtex,,"2',3'-Cyclic UMP = 2',3'-Cyclic UMP",,ompF,b0929,Escherichia coli,
23DAPPAt2pp,23DAPPAt2pp,"2,3-diaminopropionate transport in via proton symport","2,3-diaminopropionate + H+ = 2,3-diaminopropionate + H+",,,,Escherichia coli,
23DAPPAtex,23DAPPAtex,"2,3-diaminopropionate transport via diffusion","2,3-diaminopropionate = 2,3-diaminopropionate",,ompC,b2215,Escherichia coli,
23DAPPAtex,23DAPPAtex,"2,3-diaminopropionate transport via diffusion","2,3-diaminopropionate = 2,3-diaminopropionate",,ompN,b1377,Escherichia coli,
23DAPPAtex,23DAPPAtex,"2,3-diaminopropionate transport via diffusion","2,3-diaminopropionate = 2,3-diaminopropionate",,phoE,b0241,Escherichia coli,
23DAPPAtex,23DAPPAtex,"2,3-diaminopropionate transport via diffusion","2,3-diaminopropionate = 2,3-diaminopropionate",,ompF,b0929,Escherichia coli,
23DAPPAtex_reverse,23DAPPAtex,,"2,3-diaminopropionate = 2,3-diaminopropionate",,ompC,b2215,Escherichia coli,
23DAPPAtex_reverse,23DAPPAtex,,"2,3-diaminopropionate = 2,3-diaminopropionate",,ompN,b1377,Escherichia coli,
23DAPPAtex_reverse,23DAPPAtex,,"2,3-diaminopropionate = 2,3-diaminopropionate",,phoE,b0241,Escherichia coli,
23DAPPAtex_reverse,23DAPPAtex,,"2,3-diaminopropionate = 2,3-diaminopropionate",,ompF,b0929,Escherichia coli,
23PDE2pp,23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)","2',3'-Cyclic UMP + H2O = 3'-UMP + H+",3.1.4.16,cpdB,b4213,Escherichia coli,
23PDE4pp,23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)","2',3'-Cyclic CMP + H2O = 3'-cmp + H+",3.1.4.16,cpdB,b4213,Escherichia coli,0.64
23PDE7pp,23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)","2',3'-Cyclic AMP + H2O = 3'-AMP + H+",3.1.4.16,cpdB,b4213,Escherichia coli,5.29
23PDE9pp,23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)","2',3'-Cyclic GMP + H2O = 3'-GMP + H+",3.1.4.16,cpdB,b4213,Escherichia coli,1.97
26DAHtex,26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)","Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,ompC,b2215,Escherichia coli,
26DAHtex,26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)","Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,ompN,b1377,Escherichia coli,
26DAHtex,26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)","Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,phoE,b0241,Escherichia coli,
26DAHtex,26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)","Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,ompF,b0929,Escherichia coli,
26DAHtex_reverse,26DAHtex,,"Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,ompC,b2215,Escherichia coli,
26DAHtex_reverse,26DAHtex,,"Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,ompN,b1377,Escherichia coli,
26DAHtex_reverse,26DAHtex,,"Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,phoE,b0241,Escherichia coli,
26DAHtex_reverse,26DAHtex,,"Meso-2,6-Diaminoheptanedioate = Meso-2,6-Diaminoheptanedioate",,ompF,b0929,Escherichia coli,
2AGPA120tipp,2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),2-dodecanoyl-sn-glycerol 3-phosphate = 2-dodecanoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPA140tipp,2AGPA140tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),2-tetradecanoyl-sn-glycerol 3-phosphate = 2-tetradecanoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPA141tipp,2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),2-tetradec-7-enoyl-sn-glycerol 3-phosphate = 2-tetradec-7-enoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPA160tipp,2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),2-hexadecanoyl-sn-glycerol 3-phosphate = 2-hexadecanoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPA161tipp,2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),2-hexadec-9-enoyl-sn-glycerol 3-phosphate = 2-hexadec-9-enoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPA180tipp,2AGPA180tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),2-octadecanoyl-sn-glycerol 3-phosphate = 2-octadecanoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPA181tipp,2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),2-octadec-11-enoyl-sn-glycerol 3-phosphate = 2-octadec-11-enoyl-sn-glycerol 3-phosphate,,lplT,b2835,Escherichia coli,
2AGPE120tipp,2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,lplT,b2835,Escherichia coli,
2AGPE140tipp,2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,lplT,b2835,Escherichia coli,
2AGPE141tipp,2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,lplT,b2835,Escherichia coli,
2AGPE160tipp,2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,lplT,b2835,Escherichia coli,
2AGPE161tipp,2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,lplT,b2835,Escherichia coli,
2AGPE180tipp,2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,lplT,b2835,Escherichia coli,
2AGPE181tipp,2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) = 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,lplT,b2835,Escherichia coli,
2AGPEAT120,2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) + ATP + Dodecanoate (n-C12:0) = AMP + Phosphatidylethanolamine (didodecanoyl, n-C12:0) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPEAT140,2AGPEAT140,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) + ATP + Tetradecanoate (n-C14:0) = AMP + Phosphatidylethanolamine (ditetradecanoyl, n-C14:0) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPEAT141,2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) + ATP + Tetradecenoate (n-C14:1) = AMP + Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPEAT160,2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) + ATP + Hexadecanoate (n-C16:0) = AMP + Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + Diphosphate",2.3.1.40,aas,b2836,Escherichia coli,1.88
2AGPEAT161,2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) + ATP + Hexadecenoate (n-C16:1) = AMP + Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPEAT180,2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) + ATP + Octadecanoate (n-C18:0) = AMP + Phosphatidylethanolamine (dioctadecanoyl, n-C18:0) + Diphosphate",2.3.1.40,aas,b2836,Escherichia coli,1.88
2AGPEAT181,2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) + ATP + Octadecenoate (n-C18:1) = AMP + Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPG120tipp,2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,lplT,b2835,Escherichia coli,
2AGPG140tipp,2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,lplT,b2835,Escherichia coli,
2AGPG141tipp,2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,lplT,b2835,Escherichia coli,
2AGPG160tipp,2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,lplT,b2835,Escherichia coli,
2AGPG161tipp,2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,lplT,b2835,Escherichia coli,
2AGPG180tipp,2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,lplT,b2835,Escherichia coli,
2AGPG181tipp,2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) = 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,lplT,b2835,Escherichia coli,
2AGPGAT120,2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) + ATP + Dodecanoate (n-C12:0) = AMP + Phosphatidylglycerol (didodecanoyl, n-C12:0) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPGAT140,2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) + ATP + Tetradecanoate (n-C14:0) = AMP + Phosphatidylglycerol (ditetradecanoyl, n-C14:0) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPGAT141,2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) + ATP + Tetradecenoate (n-C14:1) = AMP + Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPGAT160,2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) + ATP + Hexadecanoate (n-C16:0) = AMP + Phosphatidylglycerol (dihexadecanoyl, n-C16:0) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPGAT161,2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) + ATP + Hexadecenoate (n-C16:1) = AMP + Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPGAT180,2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) + ATP + Octadecanoate (n-C18:0) = AMP + Phosphatidylglycerol (dioctadecanoyl, n-C18:0) + Diphosphate",,aas,b2836,Escherichia coli,
2AGPGAT181,2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) + ATP + Octadecenoate (n-C18:1) = AMP + Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) + Diphosphate",,aas,b2836,Escherichia coli,
2DGULRGx,2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide - reduced = D-Gluconate + Nicotinamide adenine dinucleotide,,ghrB,b3553,Escherichia coli,
2DGULRGy,2DGULRGy,2-Dehydro-L-gulonate reductase to gluconate (NADPH),2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced = D-Gluconate + Nicotinamide adenine dinucleotide phosphate,,ghrB,b3553,Escherichia coli,
2DGULRx,2DGULRx,2-dehydro-L-gulonate reductase (NADH),2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide - reduced = L-Idonate + Nicotinamide adenine dinucleotide,,ghrB,b3553,Escherichia coli,
2DGULRy,2DGULRy,2-dehydro-L-gulonate reductase (NADPH),2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced = L-Idonate + Nicotinamide adenine dinucleotide phosphate,,ghrB,b3553,Escherichia coli,
2MAHMP,2MAHMP,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate + H2O = 4-Amino-2-methyl-5-phosphomethylpyrimidine + H+ + Phosphate,,cof,b0446,Escherichia coli,
2MAHMP,2MAHMP,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate + H2O = 4-Amino-2-methyl-5-phosphomethylpyrimidine + H+ + Phosphate,,nudJ,b1134,Escherichia coli,
